Timestamp,Species Name,Date Identified (year),Natural Host(s),Experimental Host(s),Host Environment,Host Life Stage during Infection,Site of Infection,Transmission,Spore Length Average (µm),Spore Width Average (µm),Calculated Volume (µm³) (see methods),Spore Shape (Class; Condition),Locality,Nucleus,Measured Polar Tubule Length Max (μm),Measured Polar Tubule Length Min (μm),Measured Polar Tubule (μm),Calculated Polar Tubule (μm) (see methods),Polar Tubule Coils Range,Polar Tubule Coils Average,18S Accession #,Has the genome been sequenced?,Important Remarks,References,year_first_described
NA,Nosema pfeifferi,1977,Acanthocyclops viridis,NA,NA,NA,Fatty body,horizontal,5.0 (fresh),2.4 (fresh),15.079644737231 (fresh),Oblong-ovoid,Russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Воронин ВН, Yoronin VN. Микроспоридии (Protozoa, Microsporidia) низших ракообразных из водоемов Ленинградской области. Parazitologiya. 1977;11:505–12.",1977
NA,Nosema polyphemi,1977,Polyphemus pediculus,NA,NA,NA,Ovaries,horizontal,3.5 (fresh),1.6 (fresh),4.69144502936076 (fresh),Ellipsoid,Russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Воронин ВН, Yoronin VN. Микроспоридии (Protozoa, Microsporidia) низших ракообразных из водоемов Ленинградской области. Parazitologiya. 1977;11:505–12.",1977
NA,Nosema porphyriniae,1977,Porphyrinia amasina,NA,NA,larva; pupa,gut; silk glands; gonads; hemocytes; systemic infection,NA,3.5 (stained),2.1 (stained),8.08174710135974 (stained),ovoid,Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lipa JJ. Nosema porphyriniae n. sp., a new microsporidian parasite of porphyrinia amasina eversman (Lepidoptera, noctuidae). Acta Protozool. 1977;16:131–4.",1977
NA,Nosema pyrrhocoridis,1977,Pyrrhocoris apterus,NA,NA,larva; adult,midgut epithelium (primary infection site); Malpighian tubules,horizontal,4.5 (fixed and stained),2.4 (fixed and stained),13.5716802635079 (fixed and stained),oval,Poland (Białowieża National Park),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lipa JJ. Nosema pyrrhocoridis n. sp., a new microsporidian parasite of red soldier bug (Pyrrhocoris apterus L.) (Heteroptera, Pyrrhocoridae). Acta Protozool. 1977;16:135–40.",1977
NA,Nosema sp. 28,1977,Galleria mellonella,NA,NA,NA,NA,NA,1.7 (fixed and stained),0.95 (fixed and stained),0.80333142146169 (fixed and stained),NA,Czech Republic (Prague),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lipa JJ. Microsporidian infections of Galleria mellonella (L.) (Lepidoptera, Galleriidae) with the description of a new species Nosema galleriae n. sp. Acta Protozool. 1977;16:141–9.",1977
NA,Nosema telengae,1977,Laspeyresia pyrivora,NA,NA,NA,systemic infection (except hypodermis and nervous tissue),NA,NA,NA,NA,NA,Russia,NA,32,15,23.5,NA,NA,NA,NA,NA,NA,"1. Simchuk PA. A new species of microsporidian, Nosema telengae n.sp. from Laspeyresia pyrivora. Zool Zhurnal. 1977;56:10–6.",1977
NA,Nosema transitellae,1977,Paramyelois transitella,NA,NA,Larvae,"Fat and silk of salivary glands; to a lesser extent: midgut;
 muscle; and nerve tissue",horizontal,"3.62 -+ 0.26 (c1, fresh); 7.00 -+ 0.56 (c2, fresh)","2.38 -+ 0.15 (c1, fresh); 3.23 -+ 0.12 (c2, fresh)","10.7364599142864 (c1, fresh); 38.23857566 (c2, fresh)",Oval to Pyriform,USA,NA,NA,NA,NA,NA,NA,12.4 (unclear spore class),NA,NA,NA,"Kellen WR, Hoffmann DF, Collier SS. Studies on the biology and ultrastructure of nosema transitellae sp. n. (microsporidia: Nosematidae) in the navel orangeworm, paramyelois transitella (lepidoptera: Pyralidae)1. Journal of Invertebrate Pathology. 1977;29:289–96.",1977
NA,Nosema yponomeutae,1977,Yponomeuta padella; Yponomeuta evonymella,NA,NA,larva; pupa,adipose tissue; intestines (lumen and epithelium); oenocytes; lymphocytes; muscles; tracheal matrix,horizontal,4.5,1.85,8.064075643,oval,Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1. Purrini K. Über eine neue Mikrosporidien-Krankheit, Nosema yponomeutae n. sp. (Microsporidia, Nosematidae) der Gespinstmotten Yponomeuta padella L und Y. evonymella L. (Lep., Yponomeutidae). Anz Schadlingskde, Pflanzenschutz, Umweltschutz. 1977;50:122–4.",1977
NA,Nosemoides simocephali,1977,Simocephalus vetulus,NA,NA,NA,gut,horizontal,2.75,1.63,3.825661364,oval,France,1,NA,NA,NA,33.28517416,6-7,6.5,NA,NA,NA,"Loubes, Claude, and Mostafa Akbarieh. “Etude ultrastructurale de Nosemoides simocephali n. sp. (Microsporidie), parasite intestinal de la Daphnie Simocephalus vetulus Muller, 1776.” Zeitschrift fur Parasitenkunde 54, no. 2 (1977): 125–137. https://doi.org/10.1007/BF00380796.",1977
NA,Octosporea diaphanosomae,1977,Diaphanosoma brachyurum,NA,NA,NA,Ovaries,horizontal,5.15 (fresh),1.95 (fresh),10.2535693726945 (fresh),small spores: rod-shaped; large: elliptical,Russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Воронин ВН, Yoronin VN. Микроспоридии (Protozoa, Microsporidia) низших ракообразных из водоемов Ленинградской области. Parazitologiya. 1977;11:505–12.",1977
NA,Ormieresia carcini,1977,Carcinus mediterraneus,NA,NA,NA,musculature,horizontal,19.1,2.4,57.6042429,cylindrical,France,1,NA,NA,55,33.92920066,4 - 5,4.5,NA,NA,NA,"Vivares, Christian P., Georges Bouix, and Jehanne-Françoise Manier. “Ormieresia carcini gen. n., sp. n., Microsporidie du Crabe Méditerranéan, Carcinus mediterraneus Czerniavsky, 1884: Cycle Évolutif et Étude Ultrastructurale.” The Journal of Protozoology 24, no. 1 (February 1977): 83–94. https://doi.org/10.1111/j.1550-7408.1977.tb05283.x.",1977
NA,Pleistophora oncoperae,1977,Oncopera alboguttata; Oncopera rufobrunnea,NA,NA,all stages,muscles (primary infection site); fat body; connective tissues,horizontal,5.9 -+ 0.089 (normal spores); 7.7 (macrospores),3.1 -+ 0.035 (normal spores); 4.4 (macrospores),29.687526977648 (normal spores); 78.0539166759896 (macrospores),NA,Australia (New South Wales),NA,193,110,"158 -+ 8.3 (unclear if this average was only calculated with normal spores, or a mix of normal and macrospores)",NA,13 - 20,14 (unclear spore class),NA,NA,NA,"Milner RJ, Beaton CD. Pleistophora oncoperae sp.n. (Protozoa: Microsporida) from Oncopera alboguttata (Lepidoptera: Hepialidae) in Australia. Journal of Invertebrate Pathology. 1977;29:133–40.",1977
NA,Thelohania assovi,1977,Odagmia sp.,NA,NA,larva,fat body,horizontal,5.7,3.15,29.61383045,oblong-oval; ovoid,Kazakhstan,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lewtshenko, N.G. “A NEW SPECIES OF MICROSPORIDIANS, THELOHANIA ASSOVI SP. N. (MICROSPORIDIA, NOSEMATIDAE), FROM LARVAE OF BLACK FLIES.” Parazitologiya 11, no. 3 (1977): 272–275.",1977
NA,Thelohania ostriniae,1977,Ostrinia nubilalis,NA,NA,larva; pupa,adipose tissue,horizontal,"2.815 (type 1, fixed and stained); 3.715 (type 2, fixed and stained)","1.835 (type 1, fixed and stained); 2.695 (type 2, fixed and stained)","4.96305580736661 (type 1, fixed and stained); 14.1278143543745 (type 2, fixed and stained)",elongated (type 1); ovoid (type 2),France (Gard),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lipa JJ. Thelohania ostriniae n. sp., a new microsporidian parasite of the European corn borer Ostrinia nubilalis Hbn. (Lepidoptera, Pyralidae). Acta Protozool. 1977;16:151–5.",1977
NA,Thelohania volgensis,1977,Aedes excrucians; Aedes beklemishevi; Aedes annulipes; Aedes canians,NA,NA,larva,NA,NA,7.35 (live),5.85 (live),131.703614369659 (live),NA,"Russia (Middle Povolzhye: Tatarstan, Mariyskaya AO, Chuvashia)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sokolova YY, Voronin VN. Annotated list of species of the Microsporidia described in the Former Soviet Union and Russia in 20th century (1967–2000). Protistology. 2018;12:12–37.",1977
NA,Unikaryon allocreadii,1977; 1997,Allocreadium fasciatusi,NA,NA,adult,parenchyma,horizontal,3.5 ± 0.3 (fresh),2.7 ± 0.2 (fresh),13.3596227593906 (fresh),ovoid,India (Andhra Pradesh),1,30 (max),NA,NA,38.170350741116 (fresh),4 - 5,4.5,NA,NA,NA,"1. Canning EU, Madhavi R. Studies on two new species of Microsporida hyperparasitic in adult Allocreadium fasciatusi (Trematoda, Allocreadiidae). Parasitology. 1977;75:293–300.
 2. Sene A, Ba C, Marchand B, Toguebaye B. Ultrastructure of Unikaryon nomimoscolexi n. sp. (Microsporida, Unikaryonidae), a parasite of Nomimoscolex sp. (Cestoda, Proteocephalidea) from the gut of Clarotes laticeps (Pisces, Teleostei, Bagridae). Dis Aquat Org. 1997;29:35–40.",1977
NA,Unikaryon moniezi,1977; 1999,Eucyclops macrurus,NA,NA,NA,fat body,horizontal,4.4,2.1,10.15991064,ellipsoidal,Russia (Lake Vrevo),1,75 (max),NA,NA,NA,NA,NA,NA,NA,NA,"Sokolova YY, Voronin VN. Annotated list of species of the Microsporidia described in the Former Soviet Union and Russia in 20th century (1967–2000). Protistology. 2018;12:12–37.",1977
NA,Unikaryon pfeifferi,1977; 1999,Acanthocyclops viridis,NA,NA,NA,fat body,horizontal,3.5,1.6,4.691445029,elongated-oval,Russia (Lake Vrevo),1,NA,NA,NA,60.31857895,NA,12,NA,NA,NA,"Sokolova YY, Voronin VN. Annotated list of species of the Microsporidia described in the Former Soviet Union and Russia in 20th century (1967–2000). Protistology. 2018;12:12–37.",1977
