species,paper_title,title_abstract,hosts_natural,hosts_experimental,hosts_not_in_text,hosts_not_in_text_corrected
Amblyospora severinia,Ultrastructural characterization and comparative phylogenetic analysis of new microsporidia from Siberian mosquitoes: Evidence for coevolution and host switching,"Ultrastructural characterization and comparative phylogenetic analysis of new microsporidia from Siberian mosquitoes: Evidence for coevolution and host switching ::: Graphical abstract Highlights ► New species of microsporidia are described from Siberian mosquitoes. ► Unique meiospore ultrastructure and SSU rDNA sequences were obtained. ► Phylogenetic trees show a high degree of congruence between parasite and host at the generic level. ► Tree topologies imply cospeciation, host switching and independent parasite speciation. Abstract A survey of mosquito larvae infected with microsporidia was conducted from 2005 to 2008 in the Tomsk, Kemerovo and Novosibirsk regions of western Siberia, Russia. Twenty-one morphologically and genetically unique species of microsporidia were isolated from nine species of Anopheles, Aedes, Culex and Ochlerotatus mosquitoes including: (1) 14 proposed new species of Amblyospora (A. bakcharia, A. baritia, A. bogashovia, A. chulymia, A. hristinia, A. jurginia, A. kazankia, A. mavlukevia, A. mocrushinia, A. modestium, A. salairia, A. severinia, A. shegaria, and A. timirasia); (2) a newly proposed genus and species, Novothelohania ovalae and; (3) six species of Amblyospora (A. flavescens, A. kolarovi, A. rugosa), Parathelohania (P. divulgata and P. tomski) and Trichoctosporea (T. pygopellita) from which gene sequences had not been previously obtained. Detailed ultrastructure of meiospores revealed unique cytological features associated with the length, arrangement and ratio of broad to narrow coils of the polar filament, comparative thickness of the exospore and endospore, and overall size of each species reaffirming their value in distinguishing taxonomic relationships. SSU rDNA sequences obtained from each species of microsporidia were unique when compared with GenBank entries. Phylogenetic trees constructed by Maximum Parsimony, Maximum Likelihood and Neighbor Joining analyses yielded similar topologies with a high degree of congruence between parasite and host at the generic level. Species that parasitize Aedes/Ochlerotatus and Culex mosquitoes segregate into distinct monophyletic groupings mirroring their host phylogeny, while species from Anopheles mosquitoes group as a sister clade basal to the entire group of mosquito-parasitic microsporidia as their Anopheles hosts cluster as a sister clade to the entire group of culicine mosquitoes. This provides strong evidence for host-parasite coevolution by descent at the generic level and limited host lineage switching between unrelated taxa. Among parasites of Aedes/Ochlerotatus and Anopheles mosquitoes, we found several instances where a single mosquito species serves as a host for two or more related species of microsporidia, an observation consistent with host switching and independent parasite speciation. Among the microsporidian parasites of Culex mosquitoes, we found only one parasite per host indicating a higher degree of host specificity and less host switching among parasites of this genus. Findings suggest a degree of host-parasite co-speciation with host switching occurring occasionally when the “normal” host is unavailable in the aquatic ecosystem. Frequency of host switching seems to be occurring in proportion to host relatedness and does not cross generic boundaries in this system.",Ochlerotatus excrucians,NA,Ochlerotatus excrucians,NA
Amblyospora shegaria,Ultrastructural characterization and comparative phylogenetic analysis of new microsporidia from Siberian mosquitoes: Evidence for coevolution and host switching,"Ultrastructural characterization and comparative phylogenetic analysis of new microsporidia from Siberian mosquitoes: Evidence for coevolution and host switching ::: Graphical abstract Highlights ► New species of microsporidia are described from Siberian mosquitoes. ► Unique meiospore ultrastructure and SSU rDNA sequences were obtained. ► Phylogenetic trees show a high degree of congruence between parasite and host at the generic level. ► Tree topologies imply cospeciation, host switching and independent parasite speciation. Abstract A survey of mosquito larvae infected with microsporidia was conducted from 2005 to 2008 in the Tomsk, Kemerovo and Novosibirsk regions of western Siberia, Russia. Twenty-one morphologically and genetically unique species of microsporidia were isolated from nine species of Anopheles, Aedes, Culex and Ochlerotatus mosquitoes including: (1) 14 proposed new species of Amblyospora (A. bakcharia, A. baritia, A. bogashovia, A. chulymia, A. hristinia, A. jurginia, A. kazankia, A. mavlukevia, A. mocrushinia, A. modestium, A. salairia, A. severinia, A. shegaria, and A. timirasia); (2) a newly proposed genus and species, Novothelohania ovalae and; (3) six species of Amblyospora (A. flavescens, A. kolarovi, A. rugosa), Parathelohania (P. divulgata and P. tomski) and Trichoctosporea (T. pygopellita) from which gene sequences had not been previously obtained. Detailed ultrastructure of meiospores revealed unique cytological features associated with the length, arrangement and ratio of broad to narrow coils of the polar filament, comparative thickness of the exospore and endospore, and overall size of each species reaffirming their value in distinguishing taxonomic relationships. SSU rDNA sequences obtained from each species of microsporidia were unique when compared with GenBank entries. Phylogenetic trees constructed by Maximum Parsimony, Maximum Likelihood and Neighbor Joining analyses yielded similar topologies with a high degree of congruence between parasite and host at the generic level. Species that parasitize Aedes/Ochlerotatus and Culex mosquitoes segregate into distinct monophyletic groupings mirroring their host phylogeny, while species from Anopheles mosquitoes group as a sister clade basal to the entire group of mosquito-parasitic microsporidia as their Anopheles hosts cluster as a sister clade to the entire group of culicine mosquitoes. This provides strong evidence for host-parasite coevolution by descent at the generic level and limited host lineage switching between unrelated taxa. Among parasites of Aedes/Ochlerotatus and Anopheles mosquitoes, we found several instances where a single mosquito species serves as a host for two or more related species of microsporidia, an observation consistent with host switching and independent parasite speciation. Among the microsporidian parasites of Culex mosquitoes, we found only one parasite per host indicating a higher degree of host specificity and less host switching among parasites of this genus. Findings suggest a degree of host-parasite co-speciation with host switching occurring occasionally when the “normal” host is unavailable in the aquatic ecosystem. Frequency of host switching seems to be occurring in proportion to host relatedness and does not cross generic boundaries in this system.",Aedes cinereus,NA,Aedes cinereus,NA
Amblyospora sp. 37,"Microsporidium aedium n. sp., from the mosquito Aedes cantans","Microsporidium aedium n. sp., from the mosquito Aedes cantans",Aedes cantador,NA,Aedes cantador,NA
Amblyospora stimuli,Ultrastructural Characterization of Meiospores of Six New Species of Amblyospora (Microsporida: Amblyosporidae) from Northern Aedes (Diptera: Culicidae) Mosquitoes,"Ultrastructural Characterization of Meiospores of Six New Species of Amblyospora (Microsporida: Amblyosporidae) from Northern Aedes (Diptera: Culicidae) Mosquitoes ::: The ultrastructure of meiospores of six different species of Amblyospora found infecting larval mosquitoes of Aedes abserratus, Aedes aurifer, Aedes cinereus, Aedes excruciates, Aedes sticticus, and Aedes stimulans are described. Meiospores of all species exhibited characteristics typical for the genus Amblyospora including: a single nucleus, a large posterior vacuole, a thick undulating exospore and thinner endospore, a bipartite and lamellate polaroplast with more tightly stacked membranes in the proximal region, and an anisofilar polar filament with distal coils reduced in thickness. Distinct differences were found in the arrangement and number/ ratio of coils formed by the broad basal and narrow distal portions of the polar filament. These differences, when quantified and averaged, were unique from all other mosquito‐parasitic species that have been examined ultrastructurally. Information on parasite development, natural field prevalence and transmission to suspected intermediate copepod hosts is presented. The creation of six new species, Amblyospora abserrati, Amblyospora auriferi, Amblyospora cinerei, Amblyospora excrucii, Amblyospora stictici, and Amblyospora stimuli is proposed. Synonymies and complete host lists of all forms and species of Amblyospora described from mosquitoes are given",Aedes stimulans,Diacyclops bicuspidatus thomasi,Diacyclops bicuspidatus thomasi,NA
Amblyospora theophanica,New microsporidian species of the blood sucking mosquitoes from the northern Ukraine,"New microsporidian species of the blood sucking mosquitoes from the northern Ukraine ::: Six species of microsporidia from Parathelohania and Amblyospora genera have been detected among 7 species of blood sucking mosquitoes from Anopheles and Aedes genera with the use of light and electron microscopes. Three species, namely P. detinovae from the A. maculipennis, P. issiae from the A. claviger and A. theophanica from the A. annulipes are new for science. Mononuclear spores of P. detinovae sp. n. 5,0-6,0 X 3,2-3,6 mkm (fresh), lamellar polaroplast; anisophillar polar tube with 6-8 coins, 2 of them belongs to basal section. Mononuclear spores of P. issiae sp.n. 4,8-5,0 X 2,8-3,8 mkm (fresh); lamellar polaroplast; anisophillar polar tube with 5 (5-6) coins, 3 (2-3) of them belonging to basal part. Mononuclear spores of A. theophanica sp. n.: 6,0-6,8 X 4,4-5,0 mkm (fresh), formed by 8. Sporophorous vesicles containing tubular and lamellar metabolic granules. Mucocalyx is absent. Exospore thinner then endospore. Polaroplast lamellar. Anisophillar polar tube with 8 (7,5-8) coins, 4 of them belonging to basal section. Microsporidian A. excruci from the A. c. cinereus, A. puctor from the A. punctor and A. c. cincreus, A. inimica from the A. c. caspius are new for the territory of Ukraine.",Anopheles annulipes,NA,Anopheles annulipes,A. annulipes
Amblyospora timirasia,Ultrastructural characterization and comparative phylogenetic analysis of new microsporidia from Siberian mosquitoes: Evidence for coevolution and host switching,"Ultrastructural characterization and comparative phylogenetic analysis of new microsporidia from Siberian mosquitoes: Evidence for coevolution and host switching ::: Graphical abstract Highlights ► New species of microsporidia are described from Siberian mosquitoes. ► Unique meiospore ultrastructure and SSU rDNA sequences were obtained. ► Phylogenetic trees show a high degree of congruence between parasite and host at the generic level. ► Tree topologies imply cospeciation, host switching and independent parasite speciation. Abstract A survey of mosquito larvae infected with microsporidia was conducted from 2005 to 2008 in the Tomsk, Kemerovo and Novosibirsk regions of western Siberia, Russia. Twenty-one morphologically and genetically unique species of microsporidia were isolated from nine species of Anopheles, Aedes, Culex and Ochlerotatus mosquitoes including: (1) 14 proposed new species of Amblyospora (A. bakcharia, A. baritia, A. bogashovia, A. chulymia, A. hristinia, A. jurginia, A. kazankia, A. mavlukevia, A. mocrushinia, A. modestium, A. salairia, A. severinia, A. shegaria, and A. timirasia); (2) a newly proposed genus and species, Novothelohania ovalae and; (3) six species of Amblyospora (A. flavescens, A. kolarovi, A. rugosa), Parathelohania (P. divulgata and P. tomski) and Trichoctosporea (T. pygopellita) from which gene sequences had not been previously obtained. Detailed ultrastructure of meiospores revealed unique cytological features associated with the length, arrangement and ratio of broad to narrow coils of the polar filament, comparative thickness of the exospore and endospore, and overall size of each species reaffirming their value in distinguishing taxonomic relationships. SSU rDNA sequences obtained from each species of microsporidia were unique when compared with GenBank entries. Phylogenetic trees constructed by Maximum Parsimony, Maximum Likelihood and Neighbor Joining analyses yielded similar topologies with a high degree of congruence between parasite and host at the generic level. Species that parasitize Aedes/Ochlerotatus and Culex mosquitoes segregate into distinct monophyletic groupings mirroring their host phylogeny, while species from Anopheles mosquitoes group as a sister clade basal to the entire group of mosquito-parasitic microsporidia as their Anopheles hosts cluster as a sister clade to the entire group of culicine mosquitoes. This provides strong evidence for host-parasite coevolution by descent at the generic level and limited host lineage switching between unrelated taxa. Among parasites of Aedes/Ochlerotatus and Anopheles mosquitoes, we found several instances where a single mosquito species serves as a host for two or more related species of microsporidia, an observation consistent with host switching and independent parasite speciation. Among the microsporidian parasites of Culex mosquitoes, we found only one parasite per host indicating a higher degree of host specificity and less host switching among parasites of this genus. Findings suggest a degree of host-parasite co-speciation with host switching occurring occasionally when the “normal” host is unavailable in the aquatic ecosystem. Frequency of host switching seems to be occurring in proportion to host relatedness and does not cross generic boundaries in this system.",Aedes cinereus,NA,Aedes cinereus,NA
Amblyospora undata,Six new species of microsporidia of the genus amblyospora (Microspora: Amblyosporidae) from blood sucking mosquitoes (Diptera: Culicidae) from the west Siberia,"Six new species of microsporidia of the genus amblyospora (Microspora: Amblyosporidae) from blood sucking mosquitoes (Diptera: Culicidae) from the west Siberia ::: Microsporidia of the genus Amblyospora parasiting the adipose body of mosquito larvae of the genus Aedes and Culex has been studied with both light and electron microscopy. Six new species of microsporidia are described based on ultrastructural characteristics of spores and sporogony stages. Amblyospora flavescens sp. n. Mature spores are egg-shaped. The spore wall with three layers, about 165 nm. Exospore is two-membranous. Subexospore is absent. Endospore is electron-translucent. Polaroplast consists of three parts: lamellar, large vesicular, lamellar. The anisofilar polar filament with 10-11 coils (3 1/2 + 21/2 + 4-5). Fixed spores are 6.310.1 × 4.24 ± 0.1 μm. Amblyospora kolarovi sp. n. Mature spores are egg-shaped. The spore wall with three layers, about 265-315 nm. Exospore shapes tucks on the surface of spore. It is two-membranous. Subexospore is quagge, structural. Endospore is electron-translucent. Polaroplast consists of two parts: lamellar and large vesicular. The anisofilar polar filament with 11-13 coils (3 + 8-10). Fixed spores are 5.4-5.6 × 3.5-4.2 μm. Amblyospora orbiculata sp. n. Mature spores are widely egg-shaped. On a back pole there is a small concavity. The spore wall with three layers, about 155 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is absent. Endospore is electron-translucent. Polaroplast consists of three parts: lamellar, vesicular, lamellar. Polar filament is anisofilar, with 11 1/2 coils (4 1/2 + 1 + 6). Fixed spores are 6.3 ± 0.1 × × 4.0 + 0.1 μm. Amblyospora rugosa sp. n. Mature spores are egg-shaped. On a back pole there is a small concavity. The spore wall with three layers, about 225 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is quaggy, structural. Endospore is electron-translucent. Polaroplast lamellate. Polar filament is anisofilar, with 17 1/2 coils (3 1/2 + 1 + 13). Fixed spores are 5.3 ± 0.1 × 3.7 ± 0.1 μm. Amblyospora undata sp. n. Mature spores are egg-shaped. The spore wall is three-layered, about 220 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is quaggy, structural. Endospore is electron-translucent. Polaroplast lamel-late. The anisofilar polar filament with 8 coils (3 + 5). Fixed spores are 5.0 ± 0.1 × 3.0 ± ± 0.1 μm. Amblyospora urski sp. n. Mature spores have widely oval form. The back pole is concave. The spore wall with three layers, about 280 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is quaggy, structural. Endospore is electron-translucent. Polaroplast lamellate. Polar filament is anisofilar, with 6 coils (2 + 4). Fixed spores are 4.4 ± 0.1 × 2.9 ± 0.1 μm.",Aedes sp.; Culex sp.,NA,Aedes sp.; Culex sp.,NA
Amblyospora urski,Six new species of microsporidia of the genus amblyospora (Microspora: Amblyosporidae) from blood sucking mosquitoes (Diptera: Culicidae) from the west Siberia,"Six new species of microsporidia of the genus amblyospora (Microspora: Amblyosporidae) from blood sucking mosquitoes (Diptera: Culicidae) from the west Siberia ::: Microsporidia of the genus Amblyospora parasiting the adipose body of mosquito larvae of the genus Aedes and Culex has been studied with both light and electron microscopy. Six new species of microsporidia are described based on ultrastructural characteristics of spores and sporogony stages. Amblyospora flavescens sp. n. Mature spores are egg-shaped. The spore wall with three layers, about 165 nm. Exospore is two-membranous. Subexospore is absent. Endospore is electron-translucent. Polaroplast consists of three parts: lamellar, large vesicular, lamellar. The anisofilar polar filament with 10-11 coils (3 1/2 + 21/2 + 4-5). Fixed spores are 6.310.1 × 4.24 ± 0.1 μm. Amblyospora kolarovi sp. n. Mature spores are egg-shaped. The spore wall with three layers, about 265-315 nm. Exospore shapes tucks on the surface of spore. It is two-membranous. Subexospore is quagge, structural. Endospore is electron-translucent. Polaroplast consists of two parts: lamellar and large vesicular. The anisofilar polar filament with 11-13 coils (3 + 8-10). Fixed spores are 5.4-5.6 × 3.5-4.2 μm. Amblyospora orbiculata sp. n. Mature spores are widely egg-shaped. On a back pole there is a small concavity. The spore wall with three layers, about 155 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is absent. Endospore is electron-translucent. Polaroplast consists of three parts: lamellar, vesicular, lamellar. Polar filament is anisofilar, with 11 1/2 coils (4 1/2 + 1 + 6). Fixed spores are 6.3 ± 0.1 × × 4.0 + 0.1 μm. Amblyospora rugosa sp. n. Mature spores are egg-shaped. On a back pole there is a small concavity. The spore wall with three layers, about 225 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is quaggy, structural. Endospore is electron-translucent. Polaroplast lamellate. Polar filament is anisofilar, with 17 1/2 coils (3 1/2 + 1 + 13). Fixed spores are 5.3 ± 0.1 × 3.7 ± 0.1 μm. Amblyospora undata sp. n. Mature spores are egg-shaped. The spore wall is three-layered, about 220 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is quaggy, structural. Endospore is electron-translucent. Polaroplast lamel-late. The anisofilar polar filament with 8 coils (3 + 5). Fixed spores are 5.0 ± 0.1 × 3.0 ± ± 0.1 μm. Amblyospora urski sp. n. Mature spores have widely oval form. The back pole is concave. The spore wall with three layers, about 280 nm. Exospore is shapes tucks on a surface of spore. It is two-membranous. Subexospore is quaggy, structural. Endospore is electron-translucent. Polaroplast lamellate. Polar filament is anisofilar, with 6 coils (2 + 4). Fixed spores are 4.4 ± 0.1 × 2.9 ± 0.1 μm.",Aedes sp.; Culex sp.,NA,Aedes sp.; Culex sp.,NA
Ameson sp.,"A Hepatopancreatic Microsporidian in Pond-Reared Tiger Shrimp, Penaeus Monodon, from Malaysia","A Hepatopancreatic Microsporidian in Pond-Reared Tiger Shrimp, Penaeus Monodon, from Malaysia",Penaeus monodon,NA,Penaeus monodon,Penaeus Monodon
Amoebosporidium minutum,Natural infection with microsporidian organisms (KW19) in Vannella spp. (Gymnamoebia) isolated from a domestic tap-water supply,Natural infection with microsporidian organisms (KW19) in Vannella spp. (Gymnamoebia) isolated from a domestic tap-water supply,Vannella cirrifera,NA,Vannella cirrifera,NA
Anncaliia meligethi (= Nosema meligethi) (1),Nosema meligethi I. & R. (Microsporida) in populations of meligethes spp. in Europe,"Nosema meligethi I. & R. (Microsporida) in populations of meligethes spp. in Europe ::: Samples of rape blossom beetles, Meligethes spp., from 12 countries in Eastern and Western Europe were inspected for the occurrence of Nosema meligethi L & R. infection. From most countries about a dozen samples and a few hundred beetles were inspected. A total of 13 910 individual beetles were checked under a compound microscope, and of these, 561 were found to be infected (4.03%). Despite careful examination, infection was not detectable in samples from the UK (1039 beetles inspected), Germany (694), Sweden (489), or Switzerland (280). One infected beetle was found among 444 beetles inspected from Austria, and one from Denmark (1/85). In contrast, the parasite was found rather regularly in samples from Finland and from Eastern European countries. No obvious reason for this pattern of infection is known, but pesticide usage at or close to the sampling sites may play a role, because most samples from which Nosema was detected originated from areas where few pesticides are used. Spore size measurements were made from seven N. meligethi isolates, and they appeared relatively uniform. It appears that artificial spread of the disease might be worthwhile in an effort towards the integrated control of M. aeneus F.",Meligethes aenus; Pieris brassicae,NA,Meligethes aenus; Pieris brassicae,NA
Auraspora canningae,Seven New Microsporidian Parasites of Springtails (Collembola) in the Federal Republic of Germany,"Seven New Microsporidian Parasites of Springtails (Collembola) in the Federal Republic of Germany ::: Three new species of Nosema (N. lepidocyrti, N. onychiurus and N. petrosa), one Encephalitozoon (E.flavescens), two species of Thelohania (T. bomboschi and T. collembolae) and a new genus Auraspora n.g. with A. canningae were described from Collembola in soil samples of Lower Saxony, Federal Republic of Germany.",Lepidocyrtus lignorum,NA,Lepidocyrtus lignorum,NA
Berwaldia singularis (1),A New Microsporidium Berwaldia Singularis Gen. et Sp.Nov. from Daphnia Pulex and a Survey of Microsporidia Described from Cladocera,"A New Microsporidium Berwaldia Singularis Gen. et Sp.Nov. from Daphnia Pulex and a Survey of Microsporidia Described from Cladocera ::: A new microsporidian parasite of a freshwater cladoceran from southern Sweden is described using light and electron microscopical methods. Development comprises 2 merogonial sequences, the first resulting in a cluster of 8 merozoites, the second in a chain of 4 merozoites. Each secondary merozoite develops into a sporont which divides into 2 sporoblasts, each of which develops into a spore. The spores are broadly oval and in fresh smears measure about 6 fim in length, with a single nucleus and a posterosome. The polar filament is about 40 fim long, of even thickness throughout, and appears as 15—18 coils in a single layer. The anchoring disc is small and the polaroplast is composed of 2 lamellar parts. Outside the plasma membrane of the sporont a 5-layered, electrondense substance is produced, which further differentiates into endo- and exospore, an electron-dense substance occurring patchily on the exospore and a pansporoblast membrane. During development the sporoblasts and the young spores are connected by a dense substance. Mature spores appear single or paired. The pansporoblast membrane is composed of 2 structurally different layers, namely a thin outer, single membrane and an inner layer composed of tubular structures. It is connected to the spore coat by patches of the dense substance. The new microsporidium is considered to belong to a new genus of the family Telomyxidae, and its systematic relationship with this and the related family Tuzetiidae is discussed. A survey of microsporidia from Cladocera is included.",Daphnia pulex,NA,Daphnia pulex,NA
Binucleospora elongata,"Description of Binucleospora elongata gen. et sp. nov. (microspora, caudosporidae), a microsporidian parasite of ostracods of the genus Candona (crustacea, cyprididae) in Sweden","Description of Binucleospora elongata gen. et sp. nov. (microspora, caudosporidae), a microsporidian parasite of ostracods of the genus Candona (crustacea, cyprididae) in Sweden ::: The microsporidium Binucleospora elongata n.g., n. sp., a parasite of ostracods of the genus Candona in Sweden, is described based on light microscopic and ultrastructural characteristics. Merogonial stages and sporonts are diplokaryotic. Rounded merogonial Plasmodia produce at least 8 diplokaryotic merozoites by plasmotomy. Sporogonial Plasmodia, with 16–32 diplokarya, are initially rounded, but the shape changes to ribbon-like prior to the release of sporoblasts. The close association between the nuclei breaks at the end of the sporogony. The fragile sporophorous vesicle breaks when the spores are mature. The binucleate spores are rod-shaped, slightly curved, and measure approximately 2 × 5-6.8 μm in living condition. The exospore is two-layered with an internal double membrane-like layer and a cover of granular material. The isofilar polar filament is arranged in 11–14 irregular coils in the posterior half of the spore. The polaroplast has three regions: narrow, closely packed lamellae anteriorly, wider lamellae in the median region, and posterior tubuli. The nuclei are enveloped in multiple layers of smooth endoplasmic reticulum. The microsporidium is compared to the microsporidia of Ostracoda, and its possible relations to the genera Octosporea, Pseudopleistophora and Perezia are discussed. The new genus is provisionally included in the family Caudosporidae.",Candona sp.,NA,Candona sp.,Candona
Brachiola gambiae,Brachiola gambiae sp. n. the Microsporidian Parasite of Anopheles gambiae and A. melas in Liberia,"Brachiola gambiae sp. n. the Microsporidian Parasite of Anopheles gambiae and A. melas in Liberia ::: Brachiola gambiae sp. n., former Nosema cf. stegomyiae, infected natural and insectary colonies of Anopheles gambiae and A. melas in Liberia and reduced susceptivity of the mosquito to development of malaria parasites and their transmission to man. It infects most tissues of adult male and female mosquitoes, destroying the midgut, Malpighian tubules, the fat body, muscles, hypoderm and connective tissues. It is usually transmitted with feces released by mosquitoes during feeding on cotton swabs with honey water. In sporogony the oval binucleate spores, 2.5-3 x 1.5-2 μm, have an anisofilar polar filament coiled in 9 coils in one row. Five anterior coils are of larger diameter than the posterior three to four. Macrospores 3-4 x 2 μm form a low percentage of mature spores (1:30). Tubulovesicular secretions are present.",Anopheles gambiae; Anopheles melas,NA,Anopheles melas,A. melas
Brachiola vesicularum,"Brachiola vesicularum, n. g., n. sp., a new microsporidium associated with AIDS and myositis","Brachiola vesicularum, n. g., n. sp., a new microsporidium associated with AIDS and myositis ::: Brachiola vesicularum, n. g., n. sp., is a new microsporidum associated with AIDS and myositis. Biopsied muscle tissue, examined by light and electron microscopy, revealed the presence of organisms developing in direct contact with muscle cell cytoplasm and fibers. No other tissue types were infected. All parasite stages contain diplokaryotic nuclei and all cell division is by binary fission. Sporogony is disporoblastic, producing 2.9 x 2 microns diplokaryotic spores containing 8-10 coils of the polar filament arranged in one to three rows, usually two. Additionally, this microsporidium produces electron-dense extracellular secretions and vesiculotubular appendages similar to Nosema algerae. However, the production of protoplasmic extensions which may branch and terminate in extensive vesiculotubular structures is unique to this parasite. Additionally, unlike Nosema algerae, its development occurred at warm blooded host temperature (37-38 degrees C) and unlike Nosema connori, which disseminates to all tissue types, B. vesicularum infected only muscle cells. Thus, a new genus and species is proposed. Because of the similarities with the genus Nosema, this new genus is placed in the family Nosematidae. Successful clearing of this infection (both clinically and histologically) resulted from treatment with albendazole and itraconozole.",Homo sapiens,NA,Homo sapiens,NA
Caudosporidae sp.,Preliminary report of microsporidia in Simuliidae larvae from Argentina,"Preliminary report of microsporidia in Simuliidae larvae from Argentina ::: Amblyospora bracteata, Polydispyrenia simulii, and 3 other undescribed microsporidia are reported from 11 species of neotropical blackfly larvae collected from streams in Buenos Aires (eastern) and Neuquen (southwestern) provinces of Argentina. Preliminary light and electron microscopy studies indicate that 2 of the undescribed species belong in the family Thelohaniidae and the third species is placed in the family Caudosporidae. Ten species of Argentine blackflies are recorded as new host records for A. bracteata and P. simulii.",Gigantodax antarcticum; G. chilense; G. fuluescens; G. rufescens; G. rufidulum,NA,Gigantodax antarcticum; G. chilense; G. fuluescens; G. rufescens; G. rufidulum,NA
Conglomerata obtusa,"Molecular and structural assessment of microsporidia infecting daphnids: The “obtusa-like” microsporidia, a branch of the monophyletic Agglomeratidae clade, with the establishment of a new genus Conglomerata","Molecular and structural assessment of microsporidia infecting daphnids: The “obtusa-like” microsporidia, a branch of the monophyletic Agglomeratidae clade, with the establishment of a new genus Conglomerata ::: Microsporidia (Opisthosporidia, Microsporidia) are frequent parasites of planktonic cladocerans, including Daphnia (Crustacea, Branchiopoda). Analysis of available molecular data (ITS region and partial ssu and lsu rDNA) of these parasites indicates that many microsporidia infecting daphnids have a common ancestor and represent a large clade, which splits during evolution into a number of well supported subclades. These subclades are cytologically different but may be most conveniently characterised by their specific ITS barcode. We have analysed one of these subclades and we describe a new microsporidian genus and species combination, and assemble a large group of structurally indistinguishable microsporidian parasites that infect adipose cells of their hosts and form pyriform spores of a certain type (“obtuse spores”). Obtuse spores are non-infectious by feeding to their crustacean hosts and it is plausible that microsporidia forming them actually are parasites of insects with aquatic larval stages, with an obligate two-host life cycle, analogous to the Amblyospora life cycle involving copepods and mosquitoes.",Daphnia pulex,NA,Daphnia pulex,NA
Cucumispora dikerogammari (1),New data on microsporidium Nosema dikerogammari,"New data on microsporidium Nosema dikerogammari ::: Ultrastructures of the microsporidium Nosema dikerogammari, the parasite of amphipods Dikerogammaris villosus, Chaetogammarus ischnus, and Pontogammarus crassus in Ukraine, are described. The diplocaryotic meronts, sporonts and spores, the lamellar polaroplast, the isofilar polar filament puck up to 7-8 coils with different angles, are the characteristics of N. dikerogammari.",Dikerogammarus villosus; Dikerogammarus haemobaphes; Chaetogammarus ischnus; Pontogammarus crassus,NA,Dikerogammarus villosus; Dikerogammarus haemobaphes,Dikerogammaris villosus
Desmozoon lepeophtherii (also Paranucleospora theridion) (1),"A hyperparasitic microsporidian infecting the salmon louse, Lepeophtheirus salmonis: an rDNA-based molecular phylogenetic study","A hyperparasitic microsporidian infecting the salmon louse, Lepeophtheirus salmonis: an rDNA-based molecular phylogenetic study ::: The sea louse, Lepeophtheirus salmonis, is an obligate ectoparasitic copepod that lives on the external surface of salmonid fish. It is the most common ectoparasite of marine cage-reared salmonids, causing major economic loss to the aquaculture industry. During a sea louse monitoring programme, samples of L. salmonis were found to harbour an unreported microsporidian parasite. The microsporidian was observed in pre-adult and adult stages of both male and female copepods, with a prevalence of up to 5%. Unfixed spores were slightly pyriform in shape measuring 2.34 μm by 1.83 μm (±0.01 μm) and were not observed to be enclosed by a sporophorous vesicle. The microsporidian infection was observed in all areas of the copepods’ body, xenoma-like cysts forming directly under the cuticle in the epidermal tissue layer. In the present study, rDNA (530f–580r) sequence data gathered from the unidentified microsporidian parasite isolated from infected sea lice were compared with equivalents available in the databases in an attempt to identify its systematic position. The microsporidian was found to group within the phylogenetic clade containing the family Enterocytozoonidae, being most similar to members of the intranuclear genus Nucleospora. This is the first report of a hyperparasitic microsporidian infecting a caligid copepod.",Lepeophtheirus salmonis; Salmo salar; Caligus elongatus; Oncorhynchus mykiss,NA,Salmo salar; Caligus elongatus; Oncorhynchus mykiss,NA
Dictyocoela diporeiae,"Molecular and ultrastructural characterization of Dictyocoela diporeiae n. sp. (Microsporidia), a parasite of Diporeia spp. (Amphipoda, Gammaridea)","Molecular and ultrastructural characterization of Dictyocoela diporeiae n. sp. (Microsporidia), a parasite of Diporeia spp. (Amphipoda, Gammaridea) ::: Dictyocoela diporeiae n. sp. is described from Diporeia spp. (Amphipoda, Gammaridea) collected from Lake Superior (USA), and its morphology and taxonomic affiliation are discussed. In hematoxylin- and eosin-stained sections of infected amphipods, the microsporidian was observed to infect muscle tissue surrounding the ovaries. Melanized hemocytic encapsulations were often observed in or near masses of microsporidians. The microsporidians appeared as spores measuring 1.99 ± 0.09 μm long by 1.19 ± 0.05 μm wide. Each spore contained eight coils of isofilar polar filaments that were arranged in single ranks. Polar filaments measured 71 ± 3 nm in diameter. A prominent lamellar polaroplast composed of ordered concentric membranes was found at the apical end of the spore surrounding the polar filament. A distinct posterior vacuole was observed at the distal end of the spore. Phylogenetic analysis based on 16s RNA sequences showed that the microsporidian belongs to the genus Dictyocoela, and is most similar to D. berillonum, yet distinctly different. The species is new, based on its morphology, genetic sequence, host, and location within the host.",Diporeia sp.; Amphipoda; Gammaridea,NA,Diporeia sp.,Diporeia spp.
