"Timestamp","Species Name","Date Identified (year)","Natural Host(s)","Experimental Host(s)","Host Environment","Host Life Stage during Infection","Site of Infection","Transmission","Spore Length Average (µm)","Spore Width Average (µm)","Calculated Volume (µm³) (see methods)","Spore Shape (Class; Condition)","Locality","Nucleus","Measured Polar Tubule Length Max (μm)","Measured Polar Tubule Length Min (μm)","Measured Polar Tubule (μm)","Calculated Polar Tubule (μm) (see methods)","Polar Tubule Coils Range","Polar Tubule Coils Average","18S Accession #","Has the genome been sequenced?","Important Remarks","References"
,"Agmasoma penaei","1950; 1979; 1975; 1994; 2015","Litopenaeus setiferus (type host); Penaeus indicus; Penaeus notialis; Penaeus duorarum",,,,"gonad; hepatopancreas (of Penaeus notialis); heart (of Penaeus notialis); intestines (of Penaeus notialis); nervous system (of Penaeus notialis); muscles (of Penaeus notialis); ovary","both","4 (normal spores, unknown condition, Sprague); 3.5 ± 0.0 (normal spores, fresh, Sokolova); 6.5 (macrospores, unknown condition, Sprague); 5.8 ± 0.16 (macrospores, unknown condition, Sokolova)","2.2 (normal spores, unknown condition, Sprague); 2 ± 0.02 (normal spores, fresh, Sokolova); 3.35 (macrospores, unknown condition, Sprague); 2.8 ± 0.01 (macrospores, unknown condition, Sokolova)","7.33038285837618 (normal spores, fresh, Sokolova); 23.8090835240058 (macrospores, unknown condition, Sokolova)","pyriform","U.S.A. (vicinity of Grand Isle, Louisiana; Biscayne Bay); South Africa; Gulf of Mexico","1 (normal spores)",,,"70 (normal spores)","47.1238898038469 (normal spores, fresh, Sokolova)","7.5 (2–3 + 4–6 coils) (normal spores)","7.5 (normal spores, from Sokolova)","KF549987","Y",,"1. Thelohania penaei Sprague, 1950, Occ. Pap. Mar. Lab. La. St. Univ., 5, 4, Fig. 2. Sprague & Couch, 1971, J. Protozool., 18, 530
 2. Agmasoma penaei (Sprague, 1950) H. & O., 1975, U. S. Dep. Agric. Tech. Bull. 1530, 8, Figs. 1-3
 3. Kelly JF. Tissue specificities of Thelohania duorara, Agmasoma penaei, and Pleistophora sp., microsporidian parasites of pink shrimp, Penaeus duorarum. Journal of Invertebrate Pathology. 1979;33:331–9.
 4. Sokolova Y, Pelin A, Hawke J, Corradi N. Morphology and phylogeny of Agmasoma penaei (Microsporidia) from the type host, Litopenaeus setiferus, and the type locality, Louisiana, USA. International Journal for Parasitology. Elsevier; 2015;45:1–16."
,"Alfvenia ceriodaphniae",1991,"Ceriodaphniae",,,,"Hypodermis","horizontal","4.5 (live)","3.3 (live)","25.6589579981946 (live)","ovoid","Lithuania",1,,,,,2022-08-09,,,,,"Видтманн СС, Соколова ЮЯ, Vidtmann SS, Sokolova YY. Новая микроспоридия Alfvenia ceriodaphniae sp. n. из Ceriodaphnia reticulata (Crustacea: Cladocera). :7.Видтманн СС, Соколова ЮЯ, Vidtmann SS, Sokolova YY. Новая микроспоридия Alfvenia ceriodaphniae sp. n. из Ceriodaphnia reticulata (Crustacea: Cladocera). Parazitologiya. 1995;29:214–8."
,"Alfvenia sibirica",2016,"Cyclops sp.",,,,"Hypoderm; adipose","horizontal","3.6 ± 0.05 (fixed)","2.0 ± 0.04 (fixed)","7.5398223686155 (fixed)","oval","(lake Krotova Lyaga, Karasuk District, Novosibirsk region, South-Western Siberia) Russia",1,,,,"56.5486677646163 (fixed)",2022-08-10,9,"KT950766",,,"Sokolova YY, Senderskiy IV, Tokarev YS. Microsporidia Alfvenia sibirica sp. n. and Agglomerata cladocera (Pfeiffer) 1895, from Siberian microcrustaceans and phylogenetic relationships within the “Aquatic outgroup” lineage of fresh water microsporidia. Journal of Invertebrate Pathology. 2016;136:81–91."
,"Alloglugea bufonis",1995,"Bufo marinus",,,"tadpole; adult (metamorphosing toad)","intestines (lamina propria); liver (reticuloendothelial cells, blood vessels); spleen (primary infection site); kidney (glomeruli, primary infection site); macrophages; phagocytes","horizontal","1.45 (fixed)","0.7 (fixed)","0.372016930062591 (fixed)","oval",,1,,,,"12.0951317163207 (fixed)","5 - 6",5.5,,,,"Paperna I, Lainson R. Alloglugea bufonis nov. gen., nov. sp. (Microsporea:Glugeidae), a microsporidian of Bufo marinus tadpoles and metamorphosing toads (Amphibia:Anura) from Amazonian Brazil. Dis Aquat Org. 1995;23:7–16."
,"Amazonspora hassar",2003,"Hassar orestis",,,,"gills","horizontal","2.69 ± 0.45 um","1.78 ± 0.18 um",4.46263027,"oval","Brazil",1,,,,41.94026193,2022-07-08,7.5,,,,"1. Azevedo C, Matos E. Amazonspora hassar n. gen. and n. sp. (Phylum Microsporidia, fam. Glugeidae), a parasite of the Amazonian teleost Hassar orestis (fam. Doradidae). J Parasitol. 2003;89:336–41."
,"Amblyospora abserrati",1994,"Aedes abserratus","Acanthocyclops vernalis",,"larva","fat body","both","7 ± 0.4 (meiospore, live); 6.2 ± 0.6 (meiospore, preserved)","5.1 ± 0.2 (meiospore, live); 4.9 ± 0.6 (meiospore, preserved)","95.3316290731823 (meiospore, live)","cordiform in sagittal section (meiospore); broadly rounded posterior (meiospore)","U.S.A. (A permanent pond in Cornwall, Connecticut; Hamden and Granby, Connecticut)",1,,,,"176.243347866387 (meiospore, live)","3 - 3.5 (broad proximal coils); 7 - 9 (narrow distal coils)","11 (3.5 broad proximal, 7.5 narrow distal)",,,,"Andreadis TG. Ultrastructural Characterization of Meiospores of Six New Species of Amblyospora (Microsporida: Amblyosporidae) from Northern Aedes (Diptera: Culicidae) Mosquitoes. J Eukaryotic Microbiology. 1994;41:147–54."
,"Amblyospora aestiva",1996,"Aedes dorsalis; Aedes caspius",,,"larva","fat body","horizontal",4.02,2.91,17.8242249,"ellipsoidal","Ukraine",1,,,,45.71017311,"4 - 6",5,,,,"Kilochitskii, P. Ya. “New Species of Microsporidia from Bloodsucking Mosquitoes Inhabiting Small Reservoirs.” Hydrobiological Journal 34 (1998): 195–211."
,"Amblyospora alajense",1988,"Tetisimulium alajense",,,"larva",,,"4.35 (normal spores, fixed); 5.9 (binucleate spores, fixed)","1.9 (normal spores, fixed); 4 (binucleate spores, fixed)","8.22233337260788 (normal spores, fixed); 49.4277244164794 (binucleate spores, fixed)","pyriform","Uzbekistan","1 (normal spores); 2 (binucleate spores)",,,,,,,,,,"Sokolova YY, Voronin VN. Annotated list of species of the Microsporidia described in the Former Soviet Union and Russia in 20th century (1967–2000). Protistology. 2018;12:12–37."
,"Amblyospora albifasciati",1994,"Aedes albifasciatus (= Ochlerotatus albifasciatus)",,,"larva",,"both","7.2 ± 0.3 (meiospore, fresh); 6.1 ± 0.9 (meiospore, fixed)","4.4 ± 0.4 (meiospore, fresh); 4.2 ± 0.4 (meiospore, fixed)","72.9854805281981 (meiospore, fresh)","elongate-oval (meiospore, fresh); attenuated anteriorly and posteriorly (meiospore, fresh); collapsed (meiospore, stained)","Argentina (Punta Lara, Buenos Aires)",1,,,,"152.053084433746 (meiospore, fresh)","4 - 5 (proximal coils); 6 - 8 (distal coils)","11 (4.5 broad, 6.5 narrow)",,,,"Garcia JJ, Becnel JJ. Eight new species of microsporidia (Microspora) from argentine mosquitoes (Diptera: Culicidae). J Invertebr Pathol. 1994;64:243–52."
,"Amblyospora amphipodae",1975,"Crangonyx richmondensis",,,,"hepatopancreas","horizontal","4.91 (fresh, spores of first sporulation sequence); 9.68 (spores of second sporulation sequence)","3.21 (fresh, spores of first sporulation sequence); 3.66 (spores of second sporulation sequence)","26.4905014452843 (fresh, spores of first sporulation sequence); 67.8947432613563 (spores of second sporulation sequence)","broadly (spores of first sporulation sequence); oval (spores of first sporulation sequence); ends equally truncate (spores of first sporulation sequence); conical (spores of second sporulation sequence)","U.S.A. (Florida)","2 (unclear whether this applies to one or both classes)",,,,"90.7606117622091 (fresh, spores of first sporulation sequence); 459.929164485546 (spores of second sporulation sequence)",,"9 (spores of first sporulation sequence); 40 (spores of second sporulation sequence)",,,,"Amblyospora amphipodae H. & O., 1975, U. S. Dep. Agric. Tech. Bull., 1530, 11, Figs. 4-7"
,"Amblyospora auriferi",1994,"Aedes aurifer",,,"larva","fat body","both","4.5 ± 0.4 (meiospore, preserved)","3.1 ± 0.2 (meiospore, preserved)","22.6430290507484 (meiospore, preserved)","cordiform in sagittal section (meiospore); broadly rounded posterior (meiospore)","U.S.A. (A temporary vernal pool in Cornwall, Connecticut)",1,,,,"111.997778100476 (meiospore, preserved)","2.5 - 3.5 (broad proximal coils); 7.5 - 9.5 (narrow distal coils)","11.5 (3 broad proximal, 8.5 narrow distal)",,,,"Andreadis TG. Ultrastructural Characterization of Meiospores of Six New Species of Amblyospora (Microsporida: Amblyosporidae) from Northern Aedes (Diptera: Culicidae) Mosquitoes. J Eukaryotic Microbiology. 1994;41:147–54."
,"Amblyospora bakcharia",2012,"Ochlerotatus excrucians",,,"larva","Adipose in larvae","horizontal","5.4 ± 0.6 um (fixed)","3.5 ± 0.6 um (fixed)","34.6360590058275 (fixed)","Broadly ovoid","(pool near the village of Bakchar, Tomsk region, Western Siberia) Russia",1,,,,"142.942465738336 (fixed)","4.5 proximal, 8.5 distal",13,"JF837523",,,"Andreadis TG, Simakova AV, Vossbrinck CR, Shepard JJ, Yurchenko YA. Ultrastructural characterization and comparative phylogenetic analysis of new microsporidia from Siberian mosquitoes: Evidence for coevolution and host switching. Journal of Invertebrate Pathology. Elsevier; 2012;109:59–75."
,"Amblyospora baritia",2012,"Ochlerotatus excrucians",,,"larva","Adipose in larvae","horizontal","6.1 ± 0.6 um (fixed)",4.1,"53.6903420486251 (fixed)","Broadly ovoid","(pool near the village of Ursk, Kemerovo region, Western Siberia) Russia",1,,,,257.6105976,"5 proximal, 15 distal",20,"JF826403",,,"Andreadis TG, Simakova AV, Vossbrinck CR, Shepard JJ, Yurchenko YA. Ultrastructural characterization and comparative phylogenetic analysis of new microsporidia from Siberian mosquitoes: Evidence for coevolution and host switching. Journal of Invertebrate Pathology. Elsevier; 2012;109:59–75."
,"Amblyospora benigna","1962; 1975","Culex apicalis",,,"larva","hemocoel; adipose tissue","horizontal","4.15 (fresh); 4.02 (stained)","2.68 (fresh); 2.95 (stained)","15.6068877603075 (fresh)",,"U.S.A. (California)",,,,,,,,,,,"1. Thelohania benigna K. & W., 1962, J. Insect Pathol., 4, 55, Figs. 9, 58-63. Kellen, Chapman, Clark & Lindegren, 1965, W H 0/EBL/32.65, 2
 2. Amblyospora benigna (K. & W., 1962) H. & O., 1975, U. S. Dep. Agric. Tech. Bull., 1530, 14 [see this reference for fuller synonymy]"
,"Amblyospora bicortex","1969; 1975","Phryganea grandis; Trichostegia minor",,,"larva","general infection",,7.5,5.5,118.7914722,"ovoid","France (near Lake Chamboa)",,,,150,,,,,,,"1. Thelohania bicortex Baudoin, 1969, Protistologica, 5, 444, Figs. 5-9
 2. Amblyospora bicortex (Baudoin, 1969) H. & O., 1975, U. S. Dep. Agric. Tech. Bull., 1530, 14"
,"Amblyospora bogashovia",2012,"Ochlerotatus excrucians",,,"larva","Adipose in larvae","horizontal","7.1 (fixed)","5.45 (fixed)","110.42056768868 (fixed)","Broadly ovoid","(pool in Tomsk region, Western Siberia) Russia",1,,,,"222.581839506837 (fixed)","4.5 prox., 8.5 distal",13,"JF826404",,,"Andreadis TG, Simakova AV, Vossbrinck CR, Shepard JJ, Yurchenko YA. Ultrastructural characterization and comparative phylogenetic analysis of new microsporidia from Siberian mosquitoes: Evidence for coevolution and host switching. Journal of Invertebrate Pathology. Elsevier; 2012;109:59–75."
,"Amblyospora bolinasae","1962; 1975","Aedes squamiger",,,"larva","hemocoel; fat body","horizontal","6.89 (fresh); 5.70 (stained)","4.85 (fresh); 4.45 (stained)","84.8596666511857 (fresh)",,"U.S.A. (California)",,,,,,,,,,,"1. Thelohania bolinasae K. & W., 1962, J. Insect Pathol., 4, 48, Figs. 3, 22-27
 2. Amblyospora bolinasae (K. & W., 1962) H. & O., 1975, U. S. Dep. Agric. Tech. Bull. 1530, 15 [see this reference for fuller synonymy]"
,"Amblyospora bracteata","1913; 1975","Simulium bracteatum (should be Simulium aureum, according to Hazard & Oldacre); Simulium sp.; Simulium maculatum; Simulium vittatum; Simulium monticola; Simulium ornatum; Simulium variegatum; Simulium aureum; Simulium venustum; Simulium hirtipes; Simulium ocraceum",,,"larva (of Simulium bracteatum, Simulium hirtipes)","fat body (of Simulium bracteatum, Simulium hirtipes)","horizontal","3.25 (avg of all entries)","2.55 (avg of all entries)","11.0652783745658 (avg of all entries)","ovoid; short-elliptical","Brazil; U.S.A. (Boston); Belgium (Louvain); Belgain Congo; Czechoslovakia (near Prague and Chotebor); Canada (Ontario); France (Montpellier)",,,,35,,,,,,,"1. Thelohania bracteata (Strickland, 1913) Debaisieux & Gastaldi, 1919, Cellule, 30, 194, Figs. 40-60. Kudo, 1924, Ill. Biol. Monogr., 9(2/3), 150, Figs. 525-531. [?] Henrard, 1930, Rev. Zool. Bot. Afr., 19, 229. Jirovec, 1943, Zool. Anz., 31, 174. Weiser, 1947, Acta-Soc. Sci. Nat. Moravicae 18, 42. Thomson, 1960, J. Insect Pathol., 2, 357. Weiser, 1961, Monogr. Angew. Entomol., 17, 123. Vavra, 1965, C. R. Acad. Sci., 261, 3468, Figs. l-3. Maurand, 1967, Ann. Parasitol. Hum. Comp., 42, 285, Fig. 5. Liu, Darley & Davies, 1971, J. Protozool., 18, 592, Figs. 1-3. Liu & Davies, 1972, Tissue Cell, i, 1, Figs. 1-9. Liu & Davies, 1972, Parasitology, 64, 341, PIs. 1-3. Liu & Davies, 1972, J. Protozool., 19, 461, Figs. 1-10. Liu & Davies, 1972, J. Invertebr. Patho1., 19, 208, Figs. 1-9. Liu & Davies, 1972, J. Invertebr. Patho1., 20, 176, Figs. 1-4. Liu, 1972, J. Parasitol., 58, 1151, Figs. 1-7. Liu & Davies, 1973, J. Protozool., 20, 622, Figs. 1-7. Liu & Davies, 1973, Can. J. Zool., 51, 217, P1s. 1, 2. Liu & Liu, 1974, J. Morphol., 143, 337, Figs. 1-8
 2. Amblyospora bracteata (Strickland, 1913) H. & O., 1975, U. S. Dep. Agric. Tech. Bull., 1530, 15"
,"Amblyospora burlaki",2000,"Culex pipiens",,,,,,"4.8 um","3.5 um",30.78760801,,"Siberia",,,,,98.96016859,,9,,,,"1. Pankova TF, Issi IV, Simakova AV. New species of microsporidians Amblyospora from blood-sucking mosquitos of the family Culicidae. Parazitologiya. 2000;34:426–7."
,"Amblyospora californica","1960; 1975","Culex tarsalis","Culex tarsalis x Culex erythrothorax hybrid; Culex tarsalis x Culex peus hybrid",,"larva (of Culex tarsalis); adult (of Culex tarsalis)","adipose tissue (of Culex tarsalis); ova (of female Culex tarsalis)","both","8.6 (octospores, fresh); 7.09 (octospores, stained); 12.86 (monospores)","5.75 (octospores, fresh); 4.85 (octospores, stained); 3.75 (monospores)","148.878766856681 (octospores, fresh); 94.6895660746049 (monospores)","ovate (octospore); crescent-shaped (monospore)","U.S.A. (California)","1 (octospore); 2 (monospore)",156,57,"106.5 (octospore)",,,,,,,"1. Thelohania californica K. & L., 1960, J. Insect Pathol., 2, 1, Figs. 1-32. Kellen & Wills, 1962, ibid., 4, 45, Figs. 1, lO-IS. Kellen & Wills, 1962, ibid., 321. Kellen & Wills, 1963, Prog. Protozool. Proc. Int. Congr. Protozool., l, 490. Kudo & Daniels, 1963, J. Protozool., 10, 112, Figs. 1-14. Kellen, Clark & Lindegren, 1966, Exp. Parasitol., 18, 251, Figs. 1-2. Kellen, Clark & Lindegren, 1967, J. Invertebr. Pathol., 9, 22
 2. Thelohania opacita Kudo, 1922. Weiser [partim]. 1961, Monogr. Angew. Entomol., 17, 113
 3. Nosema lunatum K., C. & L., 1967, J. Invertebr. Pathol., 9, 22, Figs. 41-59
 4. Amblyospora californica (K. & L., 1960) H. & O., 1975, U. S. Dep. Agric. Tech. Bull., 1530, 16, Figs. 8-11 [see this reference for fuller synonymy]"
,"Amblyospora callosa",1975,"Rhyacophila fuscula",,,"larva","adipose tissue","horizontal","2.62 (preserved, ""those of one sequence""); 3.55 (""those of another sequence"")","2.28 (preserved, ""those of one sequence""); 2.12 (""those of another sequence"")","7.13131479268391 (preserved, ""those of one sequence""); 8.35408129652393 (""those of another sequence"")","truncate at both ends (""those of one sequence""); similar to those of A. amphipodae but smaller (""those of other sequence"")","U.S.A. (Massachusetts)",,,,,"78.791143752032 (preserved, ""those of one sequence""); 99.9026463841554 (""those of another sequence"")",,"11 (""those of one sequence""); 15 (""those of other sequence)",,,,"Amblyospora callosa H. & O., 1975, U. S. Dep. Agric. Tech. Bull., 1530, 19, Figs. 12-15"
,"Amblyospora campbelli","1962; 1975","Culiseta incidens",,,"larva","hemocoel","horizontal","6.01 (fresh); 5.47 (stained)","4.13 (fresh); 3.38 (stained)","53.6751414525708 (fresh)",,"U.S.A. (California)",,,,,,,,,,,"1. Thelohania campbelli K. & W., 1962, J. Insect Pathol., 4, 51, Figs. 6, 40-45. Kellen, Chapman, Clark & Lindegren, 1965, W H O/EBL/ 32-65, 7
 2. Amblyosporoa campbelli (K. & W., 1962) H. & O., 1975, U. S. Dep. Agric. Tech. Bull., 1530, 20 [see this reference for fuller synonymy]"
,"Amblyospora camposi",2000,"Culex renatoi (1); Paracyclops fimbriatus fimbriatus (2)",,,,"adipose (1); ovarian (1, 2)","both","10.7 ± 0.35 um (c1, fresh); 9.2 ± 0.49 um (c1, fixed); 7.86 ± 0.68 um (c2, fresh); 5.8 ± 0.4 um (c3, fresh); 4.56 ± 0.54 um (c3, fixed)","3.85 ± 0.1 um (c1, fresh); 3.4 ± 0.4 um (c1, fixed); 2.96 ± 0.34 um (c2, fresh); 4.1 ± 0.4 um (c3, fresh); 3.11 ± 0.47 um (c3, fixed)","83.0431585089719 (c1, fresh); 36.0582454337369 (c2, fresh); 51.0498334232829 (c3, fresh)","pyriform (c1);
 oval (c2);","Argentina","1 (c1); 2 (c2); 1 (c3)",,,,"90.7134878724053 (c1, fresh); 109.484503977604 (c3, fresh)","7-8 (c1),
 8-9 (c3)","7.5 (c1); 8.5 (c3)",,,,"1. Micieli MV, Garcia JJ, Becnel JJ. Life cycle and description of Amblyospora camposi n. sp. (Microsporidia: Amblyosporidae) in the mosquito Culex renatoi (Diptera, Culicidae) and the copepod Paracyclops fimbriatus fimbriatus (Copepoda, Cyclopidae). J Eukaryot Microbiol. 2000;47:575–80."
,"Amblyospora canadensis","1965; 1975","Aedes canadensis",,,"larva","adipose tissue","horizontal","5.42 (stained)","1.19 (stained)","4.01875778559615 (stained)",,"U.S.A. (Pennsylvania and Maryland)",,,,,,,,,,,"1. Thelohania inimica canadensis W. & B., 1965, J. Invertebr. Pathol., 7, 11, Figs. 1, 2. Bailey, Barnes & Dewey, 1967, ibid., 9, 354, Figs. 1-7
 2. Amblyospora canadensis (W. & B., 1965) H. & O., 1975, U. S. Dep. Agric. Tech. Bull., 1530, 22, Figs. 16-18 [see this reference for fuller synonymy]"
,"Amblyospora cantansi",1995,"Aedes cantans (type host); Aedes flavescens; Aedes euedes",,,"larva (IV instar)","fat body; oenocytes","horizontal","6.15 (normal spores); 9.5 (macrospores)","4.3 (normal spores); 5.5 (macrospores)","59.5402493689972 (normal spores); 150.469198137561 (macrospores)","egg-shaped","Ukraine (Kiev and Chernigovsk)",,"125 (max)",,,"155.351756720015 (normal spores)","10 - 13 coils (3 - 5 + 5 - 6 + 2, normal spores?)","11.5 (normal spores)",,,,"Sokolova YY, Voronin VN. Annotated list of species of the Microsporidia described in the Former Soviet Union and Russia in 20th century (1967–2000). Protistology. 2018;12:12–37."
,"Amblyospora caspius",2000,"Aedes caspius",,,,,,"4.8 um","3.6 um",32.57203263,,"Siberia",,,,,158.3362697,14,14,,,,"1. Pankova TF, Issi IV, Simakova AV. New species of microsporidians Amblyospora from blood-sucking mosquitos of the family Culicidae. Parazitologiya. 2000;34:426–7."
,"Amblyospora cataphyllus",1992,"Aedes cataphylla",,,"larva (males)","fat body","horizontal","6.8 (live); 5.75 (fixed)","4.8 (live); 4.2 (fixed)","82.0332673705367 (live)","oval; elongate-oval","Ukraine (Kiev); Ukraine (Cernigov)","1 (unclear if uninuc/binuc spores are different size); 2 (rarely, unclear if uninuc/binuc spores are different size)",,,125,"286.513250007389 (live)","18 - 20 (3 - 5 coils in basal end, 14 - 16 in distal end)",19,,,,"Kilochitskii PI. Microsporidians in bloodsucking Aedes (O.) cataphylla mosquitoes in Ukraine [Mikrosporidii krovososushchikh komarov Aedes (O.) cataphylla Ukrainy.]. Parazitologiia. 1992;26:252–6."
,"Amblyospora certa",1996,"Aedes cinereus",,,"larva","fat body","horizontal",4.97,2.54,16.78890781,"ellipsoidal","Ukraine",1,,,,47.87787204,,6,,,,"Kilochitskii, P. Ya. “New Species of Microsporidia from Bloodsucking Mosquitoes Inhabiting Small Reservoirs.” Hydrobiological Journal 34 (1998): 195–211."
