...1,species,num_papers,title_abstract,infection_site,infection_site_formatted,infection_site_normalized,pred_infection_site,tp,fp,fn
37,Amblyospora egypti,1,"A light- and electron-microscopic study of Amblyospora egypti n.sp. infecting Culex pipiens in Egypt ::: A microsporidium was found infecting the fat body of larvae and adults of both sexes of Culex pipiens in Egypt. Developmental stages were found in larvae but only masses of spores were present in adults. The infection was easily visible in live mosquito larvae, as one or two blocks of opaque whitish fat body visible through the cuticle in each segment. Meronts were rounded cells, which were bounded by an unthickened unit membrane and divided by binary fission (rarely into four). At the onset of sporogony the surface membrane was thickened by electron dense deposits. This coat was sloughed off to form the sporophorous vesicle, the separation from the sporont surface being effected by the secretion of metabolic products into the sporophorous vesicle cavity. Division within the vesicle gave rise to eight uninucleate sporoblasts, then uninucleate spores. Spores exhibited an exospore of two membrane-like layers and a subtending layer of moderate electron density, appearing as eight to ten strata separated by fine lines and permeated by amorphous material, and an electron lucent endospore. The polar tube was anisofilar with 3–4 broad coils and 4–3 narrow coils. The development and spore structure were in accord with the genus Amblyospora Hazard and Oldacre, 1975 and, on the basis of spore size and number of coils of the polar tube, it is considered to be a new species, Amblyospora egypti n.sp.",fat body,fat body,fat body,membrane-like layers; fine lines; fat body; layer,1,3,0
39,Amblyospora ferocis (Amblyospora ferocious),1,"Eight new species of microsporidia (Microspora) from argentine mosquitoes (Diptera: Culicidae) ::: Seven new species of Amblyospora and one of Parathelohania are described from larvae of neotropical mosquitoes: Aedes albifasciatus, Aedes crinifer, Anopheles evansae, Culex dolosus, Culex tramazayguesi, Mansonia indubitans, Psorophora ferox and Uranotaenia nataliae. This is the first formal description of microsporidia from mosquitoes in Argentina and the first report of an Amblyospora sp. from the genus Uranotaenia. New species were distinguished on the basis of meiospore morphology and presumed host specificity. The proposed new species are Amblyospora albifasciati n. sp., Amblyospora criniferis n. sp., Amblyospora dolosi n. sp., Amblyospora ferocis n. sp., Amblyospora indubitantis n. sp.,Amblyospora nataliae n. sp., Amblyospora tramazayguesi n. sp., and Parathelohania evansae n. sp. A complete list of all of the described species of Parathelohania from mosquitoes is given.",fat body,fat body,fat body,ferox; n.,0,2,1
40,Amblyospora firma,1,"New Species of Microsporidia from Bloodsucking Mosquitoes Inhabiting Small Reservoirs ::: Seven species of microsporidia of the genus Amblyospora (A. verna, A. firma, A. certa, A. rustica, A. aectiva, A. media and A. ukrainica) were found in four species of bloodsucking mosquito Aedes (Ae. minus, Ae. punctor, Ae. cinerus, and Ae. c. caspus and Ae. c. dorsalis) from Ukraine. Basing on the character of inclusions in sporonts and sporophore cysts, it was proposed to isolate two new subgenera (Lanicysta and Amblyocysta) in the genus Amblyospora and to consider genus Hyalinocysta as its subgenus.",fat body,fat body,fat body,A.,0,1,1
45,Amblyospora indubitantis,1,"Eight new species of microsporidia (Microspora) from argentine mosquitoes (Diptera: Culicidae) ::: Seven new species of Amblyospora and one of Parathelohania are described from larvae of neotropical mosquitoes: Aedes albifasciatus, Aedes crinifer, Anopheles evansae, Culex dolosus, Culex tramazayguesi, Mansonia indubitans, Psorophora ferox and Uranotaenia nataliae. This is the first formal description of microsporidia from mosquitoes in Argentina and the first report of an Amblyospora sp. from the genus Uranotaenia. New species were distinguished on the basis of meiospore morphology and presumed host specificity. The proposed new species are Amblyospora albifasciati n. sp., Amblyospora criniferis n. sp., Amblyospora dolosi n. sp., Amblyospora ferocis n. sp., Amblyospora indubitantis n. sp.,Amblyospora nataliae n. sp., Amblyospora tramazayguesi n. sp., and Parathelohania evansae n. sp. A complete list of all of the described species of Parathelohania from mosquitoes is given.",fat body,fat body,fat body,ferox; n.,0,2,1
52,Amblyospora media,1,"New Species of Microsporidia from Bloodsucking Mosquitoes Inhabiting Small Reservoirs ::: Seven species of microsporidia of the genus Amblyospora (A. verna, A. firma, A. certa, A. rustica, A. aectiva, A. media and A. ukrainica) were found in four species of bloodsucking mosquito Aedes (Ae. minus, Ae. punctor, Ae. cinerus, and Ae. c. caspus and Ae. c. dorsalis) from Ukraine. Basing on the character of inclusions in sporonts and sporophore cysts, it was proposed to isolate two new subgenera (Lanicysta and Amblyocysta) in the genus Amblyospora and to consider genus Hyalinocysta as its subgenus.",fat body,fat body,fat body,A.,0,1,1
55,Amblyospora nataliae,1,"Eight new species of microsporidia (Microspora) from argentine mosquitoes (Diptera: Culicidae) ::: Seven new species of Amblyospora and one of Parathelohania are described from larvae of neotropical mosquitoes: Aedes albifasciatus, Aedes crinifer, Anopheles evansae, Culex dolosus, Culex tramazayguesi, Mansonia indubitans, Psorophora ferox and Uranotaenia nataliae. This is the first formal description of microsporidia from mosquitoes in Argentina and the first report of an Amblyospora sp. from the genus Uranotaenia. New species were distinguished on the basis of meiospore morphology and presumed host specificity. The proposed new species are Amblyospora albifasciati n. sp., Amblyospora criniferis n. sp., Amblyospora dolosi n. sp., Amblyospora ferocis n. sp., Amblyospora indubitantis n. sp.,Amblyospora nataliae n. sp., Amblyospora tramazayguesi n. sp., and Parathelohania evansae n. sp. A complete list of all of the described species of Parathelohania from mosquitoes is given.",fat body,fat body,fat body,ferox; n.,0,2,1
59,Amblyospora polykarya,1,"Life Cycle of a New Species of Amblyospora (Microspora: Amblyosporidae) in the Mosquito Aedes Taeniorhynchus ::: A new species of Microspora, Amblyospora polykarya, is described from the mosquito Aedes taeniorhynchus. The parasite is transovarially transmitted for one generation only. Spores in adult females extrude binucleate sporoplasms which infect developing eggs. Merogony occurs in larval oenocytes with diplokaryotic stages in early instars giving rise to plasmodia with many diplokarya. Plasmodia undergo cytokinesis to form diplokaryotic sporonts. In fat body cells, these sporonts secrete pansporoblastic membranes and undergo two nuclear divisions to form octonucleate sporonts. Cytokinesis and differentiation result in uninucleate spores in packets of eight. These spores are not transmissible per os and are of different morphotype from those in adult females. Infected larvae die in the fourth stadium.",fat body (type 1); egg (type 2),fat body; egg,fat body; egg,sporoplasms,0,1,2
74,Amblyospora styriaca,1,"On Amblyospora styriaca sp.nov. (Microspora, Amblyosporidae) a microsporidian of the blackfly Eusimulium costatum (Diptera, Simuliidae) ::: An Amblyospora species (microspora, Abblyosporidae) collected in the southeast region of Austria was examined using light and electron microscopic methods. The hosts were larvae of Eusimulium costatum (Diptera, Simuliidae). The merogonial stages were found to be diplocaryotic. During sporogony, eight monocaryotic spores developed in a sporophorous vesicle. The truncate spores measured between 2.9×2.3 and 4.1×3.2 μm and had an anisofilar polar tube, the narrow part of which was rather short. Besides tubules and homogeneous, electron-dense inclusions, unique filamentous structures were observed in the episporontal space. The microsporidian was compared with other species showing similar characteristics. Because of the variations observed in its ultrastructure as compared with that of other species, we consider this microsporidian to be a new species and have named it Amblyospora styriaca.",adipose tissue,adipose tissue,adipose tissue,merogonial,0,1,1
77,Amblyospora tramazayguesi,1,"Eight new species of microsporidia (Microspora) from argentine mosquitoes (Diptera: Culicidae) ::: Seven new species of Amblyospora and one of Parathelohania are described from larvae of neotropical mosquitoes: Aedes albifasciatus, Aedes crinifer, Anopheles evansae, Culex dolosus, Culex tramazayguesi, Mansonia indubitans, Psorophora ferox and Uranotaenia nataliae. This is the first formal description of microsporidia from mosquitoes in Argentina and the first report of an Amblyospora sp. from the genus Uranotaenia. New species were distinguished on the basis of meiospore morphology and presumed host specificity. The proposed new species are Amblyospora albifasciati n. sp., Amblyospora criniferis n. sp., Amblyospora dolosi n. sp., Amblyospora ferocis n. sp., Amblyospora indubitantis n. sp.,Amblyospora nataliae n. sp., Amblyospora tramazayguesi n. sp., and Parathelohania evansae n. sp. A complete list of all of the described species of Parathelohania from mosquitoes is given.",fat body,fat body,fat body,ferox; n.,0,2,1
78,Amblyospora trinus,1,"Amblyospora trinus N. Sp. (Microsporida: Amblyosporidae) in the Australian Mosquito Culex halifaxi (Diptera: Culicidae) ::: A new species of Amblyospora, a parasite found in wild populations of the predacious Australian mosquito Culex halifaxi, was investigated with light and electron microscopy. This species was found to be heterosporous with two concurrent sporulation sequences in the host larvae, both arising from diplokaryotic meronts and ending with haploid spores. One sequence was dominant and involved meiosis to produce eight thick‐walled, broadly oval meiospores in a sporophorous vesicle (SV). The other sequence involved nuclear dissociation to produce lanceolate, thin‐walled spores in a subpersistent SV. Horizontal transmission to the mosquito host, by one or both of two distinctly different pathways (one via an intermediate host, the other by cannibalism of infected individuals) and by vertical transmission, are postulated but have not been demonstrated. A new species, Amblyospora trinus, is proposed and its affinities to other heterosporous microsporidia in mosquitoes are discussed.",fat body,fat body,fat body,haploid spores,0,1,1
84,Ameson herrnkindi,1,"Characterization of microsporidian Ameson herrnkindi sp. nov. infecting Caribbean spiny lobsters Panulirus argus ::: The Caribbean spiny lobster Panulirus argus supports a large and valuable fishery in the Caribbean Sea. In 2007-2008, a rare microsporidian parasite with spore characteristics typical of the Ameson genus was detected in 2 spiny lobsters from southeast Florida (FL). However, the parasite species was not confirmed by molecular analyses. To address this deficiency, reported here are structural and molecular data on single lobsters displaying comparable ‘cotton-like’ abdominal muscle containing ovoid microsporidian spores found at different locations in FL in 2014 and 2018 and in Saint Kitts and Nevis Islands in 2017. In the lobster from 2014, multiple life stages consistent with an Ameson-like monokaryotic microsporidian were detected by transmission electron microscopy. A partial (1228 bp) small subunit (SSU) rRNA gene sequence showed each microsporidia to be identical and positioned it closest phylogenetically to Ameson pulvis in a highly supported clade also containing A. michaelis, A. metacarcini, A. portunus, and Nadelspora canceri. Using ecological, pathological, ultrastructural, and molecular data, the P. argus microsporidian has been assigned to a distinct species: Ameson herrnkindi.",Striated muscle tissues,Striated muscle tissues,Striated muscle tissues,spiny lobster; spore; FL; cotton-like’ abdominal muscle,0,4,1
85,Ameson metacarcini,1,"Ameson metacarcini sp. nov. (Microsporidia) infecting the muscles of Dungeness crabs Metacarcinus magister from British Columbia, Canada ::: The Dungeness crab Metacarcinus magister supports a large and valuable fishery along the west coast of North America. Since 1998, Dungeness crabs exhibiting pink- to orange-colored joints and opaque white musculature have been sporadically observed in low prevalence from the Fraser River delta of British Columbia, Canada. We provide histological, ultrastructural, and molecular evidence that this condition is caused by a new microsporidian parasite. Crabs displaying gross symptoms were confirmed to have heavy infections of ovoid-shaped microsporidian spores (~1.8 × 1.4 µm in size) within muscle bundles of the skeletal musculature. The parasite apparently infected the outer periphery of each muscle bundle, and then proliferated into the muscle fibres near the centre of each infected bundle. Light infections were observed in heart tissues, and occasionally spores were observed within the fixed phagocytes lining the blood vessels of the hepatopancreas. Transmission electron microscopy (TEM) revealed multiple life stages of a monokaryotic microsporidian parasite within the sarcoplasm of muscle fibres. Molecular analysis of partial small subunit rRNA sequence data from the new species revealed an affinity to Ameson, a genus of Microsporidia infecting marine crustaceans. Based on morphological and molecular data, the new species is distinct from Nadelspora canceri, a related microsporidian that also infects the muscles of this host. At present, little is known about the distribution, seasonality, and transmission of A. metacarcini in M. magister.",Sarcoplasm of skeletal myofibrils; rarely in cardiac muscles; fixed phagocytes of hemal vessels.,Sarcoplasm of skeletal myofibrils; rarely in cardiac muscles; fixed phagocytes of hemal vessels.,hemal vessels; Myofibrils; cardiac muscles,musculature; Myofibrils; muscle; outer periphery; pink-,1,4,2
88,Andreanna caspii,1,"Molecular and ultrastructural characterization of Andreanna caspii n. gen., n. sp. (Microsporida: Amblyosporidae), a parasite of Ochlerotatus caspius (Diptera: Culicidae) ::: Abstract A new genus and species of microsporidia, Andreanna caspii n. gen., n. sp. is described from the mosquito, Ochlerotatus caspius (Pallas) based on ultrastructural morphology, developmental characteristics, and comparative sequence analyses of the small subunit (SSU) ribosomal DNA (rDNA). Parasite development is confined to fat body tissue and infected larvae appear swollen with dull white masses within the thorax and abdomen. Meronts have diplokaryotic nuclei and are delineated by a simple plasmalemma contiguous with the host cell cytoplasm. Merogony occurs by synchronous binary division followed by cytokinesis. Diplokaryotic sporonts undergo meiosis and synchronous nuclear division forming sporogonial plasmodia with two, four and eight nuclei enclosed within a persistent sporophorous vesicle. Cytokinesis of sporogonial plasmodia results in the formation of eight uninucleate spores. The episporontal space of early sporonts is filled with a homogeneous accumulation of electron dense granular inclusions and ovoid vesicles of various dimensions, transforming into an interwoven matrix during the initial phase of sporogenesis. Spores are oval, uninucleate and measure 4.8±0.3×3.1±0.4μm (fixed). The spore wall is 260μm thick with an irregular exospore consisting of two layers (150–170μm) and a thinner endospore (90–100μm). The anchoring disk is well developed and is contiguous with a lamellar polaroplast that occupies the anterior third of the spore and possess more narrow lamellae on the posterior end. The polar filament is gradually tapered and arranged in a single row consisting of six coils ranging from 180 to 150μm in diameter. The posterior vacuole (posterosome) is moderately sized and filled with a matrix of moderate electron density. Phylogenetic analysis of SSU rDNA from A. caspii and 30 other species of microsporidia including 11 genera parasitic in mosquitoes using maximum parsimony, neighbor joining and maximum likelihood methods showed A. caspii to be a sister group to the clade containing all of the Amblyospora species, including Culicospora, Edhazardia and Intrapredatorus, as well as Culicosporella and Hyalinocysta thus providing strong support for establishment of Andreanna as a separate genus.",adipose,adipose,Adipose tissue,thorax; Adipose tissue; caspii n.; DNA; abdomen; rDNA,1,5,0
89,Anisofilariata chironomi,1,"Ultrastructure and molecular phylogeny of Anisofilariata chironomi g.n. sp.n. (Microsporidia: Terresporidia) from Chironomus plumosus L. (Diptera: Chironomidae) ::: Larvae of Chironomus plumosus, collected in North-Western Russia in September 2008, were infected with a microsporidium possessing broadly oval uninucleate spores in sporophorous vesicles. Sporogony and spore ultrastructure of this microsporidium differed from that of known microsporidian species, suggesting establishment of a new species, Anisofilariata chironomi, being a type species of a new genus. Sporogony di-, tetra-, octo-, and 16-sporoblastic. Fixed and stained spores are 4.7-6.8 x 3.4-5.4 microm in size, the spore measurements varying depending upon the number of spores in the sporophorous vesicle. The polaroplast is bipartite, with anterior and posterior parts composed of very thin and thick lamellae, respectively, and occupies the major volume of the spore. The polar filament is anisofilar, with two broad proximal and 10-13 narrow distal coils arranged in 2-4 layers. The sporophorous vesicle is bounded by a thin membrane and contains multiple tubular structures. Small subunit ribosomal DNA phylogeny showed basal position of the new microsporidium to a cluster uniting microsporidia infecting ciliates (Euplotespora binucleata), microcrustaceans (Glugoides intestinalis, Mrazekia macrocyclopis), lepidopteran insects (Cystosporogenes spp., Endoreticulatus spp.) and human (Vittaforma corneae), nested within Clade IV sensu Vossbrinck and Debrunner-Vossbrinck (2005 Folia Parasitol 52:131-142). No close phylogenetic relationships were found between A. chironomi and microsporidia from other dipteran hosts.",Adipose,Adipose,Adipose,Euplotespora; Chironomus plumosus L.; ciliates; A. chironomi; ribosomal DNA,0,5,1
