...1,species,num_papers,title_abstract,infection_site,infection_site_formatted,infection_site_normalized,pred_infection_site,tp,fp,fn
52,Amblyospora media,1,"New Species of Microsporidia from Bloodsucking Mosquitoes Inhabiting Small Reservoirs ::: Seven species of microsporidia of the genus Amblyospora (A. verna, A. firma, A. certa, A. rustica, A. aectiva, A. media and A. ukrainica) were found in four species of bloodsucking mosquito Aedes (Ae. minus, Ae. punctor, Ae. cinerus, and Ae. c. caspus and Ae. c. dorsalis) from Ukraine. Basing on the character of inclusions in sporonts and sporophore cysts, it was proposed to isolate two new subgenera (Lanicysta and Amblyocysta) in the genus Amblyospora and to consider genus Hyalinocysta as its subgenus.",fat body,fat body,fat body,A.,0,1,1
55,Amblyospora nataliae,1,"Eight new species of microsporidia (Microspora) from argentine mosquitoes (Diptera: Culicidae) ::: Seven new species of Amblyospora and one of Parathelohania are described from larvae of neotropical mosquitoes: Aedes albifasciatus, Aedes crinifer, Anopheles evansae, Culex dolosus, Culex tramazayguesi, Mansonia indubitans, Psorophora ferox and Uranotaenia nataliae. This is the first formal description of microsporidia from mosquitoes in Argentina and the first report of an Amblyospora sp. from the genus Uranotaenia. New species were distinguished on the basis of meiospore morphology and presumed host specificity. The proposed new species are Amblyospora albifasciati n. sp., Amblyospora criniferis n. sp., Amblyospora dolosi n. sp., Amblyospora ferocis n. sp., Amblyospora indubitantis n. sp.,Amblyospora nataliae n. sp., Amblyospora tramazayguesi n. sp., and Parathelohania evansae n. sp. A complete list of all of the described species of Parathelohania from mosquitoes is given.",fat body,fat body,fat body,ferox; n.,0,2,1
59,Amblyospora polykarya,1,"Life Cycle of a New Species of Amblyospora (Microspora: Amblyosporidae) in the Mosquito Aedes Taeniorhynchus ::: A new species of Microspora, Amblyospora polykarya, is described from the mosquito Aedes taeniorhynchus. The parasite is transovarially transmitted for one generation only. Spores in adult females extrude binucleate sporoplasms which infect developing eggs. Merogony occurs in larval oenocytes with diplokaryotic stages in early instars giving rise to plasmodia with many diplokarya. Plasmodia undergo cytokinesis to form diplokaryotic sporonts. In fat body cells, these sporonts secrete pansporoblastic membranes and undergo two nuclear divisions to form octonucleate sporonts. Cytokinesis and differentiation result in uninucleate spores in packets of eight. These spores are not transmissible per os and are of different morphotype from those in adult females. Infected larvae die in the fourth stadium.",fat body (type 1); egg (type 2),fat body; egg,fat body; egg,sporoplasms,0,1,2
74,Amblyospora styriaca,1,"On Amblyospora styriaca sp.nov. (Microspora, Amblyosporidae) a microsporidian of the blackfly Eusimulium costatum (Diptera, Simuliidae) ::: An Amblyospora species (microspora, Abblyosporidae) collected in the southeast region of Austria was examined using light and electron microscopic methods. The hosts were larvae of Eusimulium costatum (Diptera, Simuliidae). The merogonial stages were found to be diplocaryotic. During sporogony, eight monocaryotic spores developed in a sporophorous vesicle. The truncate spores measured between 2.9×2.3 and 4.1×3.2 μm and had an anisofilar polar tube, the narrow part of which was rather short. Besides tubules and homogeneous, electron-dense inclusions, unique filamentous structures were observed in the episporontal space. The microsporidian was compared with other species showing similar characteristics. Because of the variations observed in its ultrastructure as compared with that of other species, we consider this microsporidian to be a new species and have named it Amblyospora styriaca.",adipose tissue,adipose tissue,adipose tissue,merogonial,0,1,1
77,Amblyospora tramazayguesi,1,"Eight new species of microsporidia (Microspora) from argentine mosquitoes (Diptera: Culicidae) ::: Seven new species of Amblyospora and one of Parathelohania are described from larvae of neotropical mosquitoes: Aedes albifasciatus, Aedes crinifer, Anopheles evansae, Culex dolosus, Culex tramazayguesi, Mansonia indubitans, Psorophora ferox and Uranotaenia nataliae. This is the first formal description of microsporidia from mosquitoes in Argentina and the first report of an Amblyospora sp. from the genus Uranotaenia. New species were distinguished on the basis of meiospore morphology and presumed host specificity. The proposed new species are Amblyospora albifasciati n. sp., Amblyospora criniferis n. sp., Amblyospora dolosi n. sp., Amblyospora ferocis n. sp., Amblyospora indubitantis n. sp.,Amblyospora nataliae n. sp., Amblyospora tramazayguesi n. sp., and Parathelohania evansae n. sp. A complete list of all of the described species of Parathelohania from mosquitoes is given.",fat body,fat body,fat body,ferox; n.,0,2,1
78,Amblyospora trinus,1,"Amblyospora trinus N. Sp. (Microsporida: Amblyosporidae) in the Australian Mosquito Culex halifaxi (Diptera: Culicidae) ::: A new species of Amblyospora, a parasite found in wild populations of the predacious Australian mosquito Culex halifaxi, was investigated with light and electron microscopy. This species was found to be heterosporous with two concurrent sporulation sequences in the host larvae, both arising from diplokaryotic meronts and ending with haploid spores. One sequence was dominant and involved meiosis to produce eight thick‐walled, broadly oval meiospores in a sporophorous vesicle (SV). The other sequence involved nuclear dissociation to produce lanceolate, thin‐walled spores in a subpersistent SV. Horizontal transmission to the mosquito host, by one or both of two distinctly different pathways (one via an intermediate host, the other by cannibalism of infected individuals) and by vertical transmission, are postulated but have not been demonstrated. A new species, Amblyospora trinus, is proposed and its affinities to other heterosporous microsporidia in mosquitoes are discussed.",fat body,fat body,fat body,haploid spores,0,1,1
84,Ameson herrnkindi,1,"Characterization of microsporidian Ameson herrnkindi sp. nov. infecting Caribbean spiny lobsters Panulirus argus ::: The Caribbean spiny lobster Panulirus argus supports a large and valuable fishery in the Caribbean Sea. In 2007-2008, a rare microsporidian parasite with spore characteristics typical of the Ameson genus was detected in 2 spiny lobsters from southeast Florida (FL). However, the parasite species was not confirmed by molecular analyses. To address this deficiency, reported here are structural and molecular data on single lobsters displaying comparable ‘cotton-like’ abdominal muscle containing ovoid microsporidian spores found at different locations in FL in 2014 and 2018 and in Saint Kitts and Nevis Islands in 2017. In the lobster from 2014, multiple life stages consistent with an Ameson-like monokaryotic microsporidian were detected by transmission electron microscopy. A partial (1228 bp) small subunit (SSU) rRNA gene sequence showed each microsporidia to be identical and positioned it closest phylogenetically to Ameson pulvis in a highly supported clade also containing A. michaelis, A. metacarcini, A. portunus, and Nadelspora canceri. Using ecological, pathological, ultrastructural, and molecular data, the P. argus microsporidian has been assigned to a distinct species: Ameson herrnkindi.",Striated muscle tissues,Striated muscle tissues,Striated muscle tissues,spiny lobster; spore; FL; cotton-like’ abdominal muscle,0,4,1
85,Ameson metacarcini,1,"Ameson metacarcini sp. nov. (Microsporidia) infecting the muscles of Dungeness crabs Metacarcinus magister from British Columbia, Canada ::: The Dungeness crab Metacarcinus magister supports a large and valuable fishery along the west coast of North America. Since 1998, Dungeness crabs exhibiting pink- to orange-colored joints and opaque white musculature have been sporadically observed in low prevalence from the Fraser River delta of British Columbia, Canada. We provide histological, ultrastructural, and molecular evidence that this condition is caused by a new microsporidian parasite. Crabs displaying gross symptoms were confirmed to have heavy infections of ovoid-shaped microsporidian spores (~1.8 × 1.4 µm in size) within muscle bundles of the skeletal musculature. The parasite apparently infected the outer periphery of each muscle bundle, and then proliferated into the muscle fibres near the centre of each infected bundle. Light infections were observed in heart tissues, and occasionally spores were observed within the fixed phagocytes lining the blood vessels of the hepatopancreas. Transmission electron microscopy (TEM) revealed multiple life stages of a monokaryotic microsporidian parasite within the sarcoplasm of muscle fibres. Molecular analysis of partial small subunit rRNA sequence data from the new species revealed an affinity to Ameson, a genus of Microsporidia infecting marine crustaceans. Based on morphological and molecular data, the new species is distinct from Nadelspora canceri, a related microsporidian that also infects the muscles of this host. At present, little is known about the distribution, seasonality, and transmission of A. metacarcini in M. magister.",Sarcoplasm of skeletal myofibrils; rarely in cardiac muscles; fixed phagocytes of hemal vessels.,Sarcoplasm of skeletal myofibrils; rarely in cardiac muscles; fixed phagocytes of hemal vessels.,hemal vessels; Myofibrils; cardiac muscles,musculature; Myofibrils; muscle; outer periphery; pink-,1,4,2
89,Anisofilariata chironomi,1,"Ultrastructure and molecular phylogeny of Anisofilariata chironomi g.n. sp.n. (Microsporidia: Terresporidia) from Chironomus plumosus L. (Diptera: Chironomidae) ::: Larvae of Chironomus plumosus, collected in North-Western Russia in September 2008, were infected with a microsporidium possessing broadly oval uninucleate spores in sporophorous vesicles. Sporogony and spore ultrastructure of this microsporidium differed from that of known microsporidian species, suggesting establishment of a new species, Anisofilariata chironomi, being a type species of a new genus. Sporogony di-, tetra-, octo-, and 16-sporoblastic. Fixed and stained spores are 4.7-6.8 x 3.4-5.4 microm in size, the spore measurements varying depending upon the number of spores in the sporophorous vesicle. The polaroplast is bipartite, with anterior and posterior parts composed of very thin and thick lamellae, respectively, and occupies the major volume of the spore. The polar filament is anisofilar, with two broad proximal and 10-13 narrow distal coils arranged in 2-4 layers. The sporophorous vesicle is bounded by a thin membrane and contains multiple tubular structures. Small subunit ribosomal DNA phylogeny showed basal position of the new microsporidium to a cluster uniting microsporidia infecting ciliates (Euplotespora binucleata), microcrustaceans (Glugoides intestinalis, Mrazekia macrocyclopis), lepidopteran insects (Cystosporogenes spp., Endoreticulatus spp.) and human (Vittaforma corneae), nested within Clade IV sensu Vossbrinck and Debrunner-Vossbrinck (2005 Folia Parasitol 52:131-142). No close phylogenetic relationships were found between A. chironomi and microsporidia from other dipteran hosts.",Adipose,Adipose,Adipose,Euplotespora; Chironomus plumosus L.; ciliates; A. chironomi; ribosomal DNA,0,5,1
94,Antonospora psocopterae,1,"New microsporidia parasitizing bark lice (Insecta: Psocoptera) ::: Abstract Two species of bark lice, Xanthocaecilius sommermanae Mockford and Polypsocus corruptus Hagen, collected in a canopy Malaise trap placed in Great Smoky Mountains National Park as part of a survey of the park’s fauna, were found to be infected with microsporidia. Diagnosis was originally based on light microscopy, and was confirmed by PCR amplification and electron microscopy. This is the first record of microsporidia infection in the insect order Psocoptera. Four morphological spore types corresponded to four original SSUrDNA sequences (Genbank accession no. FJ865221-24), suggesting infection with four microsporidia species. Two of those species were examined by electron microscopy. We describe here one new genus and two new species based on morphological and sequence data: Antonospora psocopterae sp. n. with elongated diplokaryotic spores, 4.4±0.05×1.9±0.03μm and Mockfordia xanthocaeciliae gen. n. sp. n. with ovocylindrical monokaryotic spores, 2.5±0.10×1.4±0.02μm. A. psocopterae displayed high sequence (95%) and structural similarity with Antonospora scoticae, fell within a well supported dichotomy with A. scoticae inside the Antonospora–Paranosema clade in phylogenetic analyses by NJ, PS and ML. M. xanthocaeciliae did not exhibit much sequence or structural similarity with any of known microsporidia species, except Encephalitozoon spp. M. xanthocaeciliae fell within one clade with Encephalitozoon spp. in phylogenies and shared with encephalitozoons structural resemblance and about 80% of SSUrDNA sequence identity. The other two species were not described and provisionally were placed to the collective genus Microsporidium as Microsporidium sp. 1 and Microsporidium sp. 4 from bark lice because of insufficient morphological data. The finding that samples fixed and stored for months in propylene glycol (“antifreeze”) are good enough for DNA sequence analysis and can be used for morphological analyses (if no better fixation alternatives are available), is promising for future surveys for microsporidia.",Adipose,Adipose,Adipose,Microsporidium sp. 4; Xanthocaecilius; bark; Microsporidium sp. 1,0,4,1
95,Antonospora scoticae,1,"Morphological and molecular characterization of Antonospora scoticae n. gen., n. sp. (Protozoa, microsporidia) a parasite of the communal bee, Andrena scotica Perkins, 1916 (Hymenoptera, andrenidae) ::: The new microsporidium Antonospora scoticae n. gen., n. sp., a parasite of the communal bee Andrena scotica, is described based on light microscopy, ultrastructural characteristics and the nucleotide sequence of the small subunit ribosomal RNA coding region. The parasite is apansporoblastic and develops in close contact with the host cytoplasm. All developmental stages are diplokaryotic. Cytoplasmic fission was not observed, but the sporogony is believed to be disporoblastic. Live spores are ovocylindrical, straight to slightly curved, and measure 6.8 x 2.7 μm whereas spores fixed and stained for TEM measure 5.0 x 1.8 υm. The exospore is four-layered, with an internal single layer followed by a thicker, more electron dense layer, then another single layer followed by a thin external double layer. The polar filament is isofilar and arranged in 15-22 coils in the posterior and mid-part of the spore. The polaroplast has tightly packed lamellae that become less densely packed in the posterior region. The coding region of the small subunit ribosomal RNA is 1371 base pairs long. Its GC content (62%) is significantly higher than previously reported for this group of organisms. The systematic position of the described microsporidium was found to be ambiguous and is discussed in the context of inconsistencies between the molecular and morphological taxonomy of microsporidia. A new genus is proposed for A. scoticae without defining superior taxa because the current developmental and morphological evidence is limited and partly contradictory to the molecular data. Current taxonomies of microsporidia are based on characters that are most likely polyphyletic in nature. Traditional systems of microsporidian taxonomy may need to be extensively revised, as molecular data become available.",adipose tissue (in gaster); haemolymph; haemocoel,adipose tissue; haemolymph; haemocoel,haemocoel; adipose tissue; haemolymph,ribosomal,0,1,3
108,Binucleata daphniae,1,"Morphology, Molecular Phylogeny, and Ecology of Binucleata daphniae n. g., n. sp. (Fungi: Microsporidia), a Parasite of Daphnia magna Straus, 1820 (Crustacea: Branchiopoda) ::: ABSTRACT . We describe a new microsporidian species Binucleata daphniae, n. g., n. sp., that infects the integument cells lining the hemocoele cavity of the carapace and the postabdomen of the cladoceran Daphnia magna Straus. Infected cells filled with spores accumulate as large clusters in the carapace cavity and heavily infected hosts are detected by their opaque appearance. Despite the parasite's presence, infected Daphnia grow and molt, but have a reduced fecundity. During the parasite's life cycle, chain-like meronts with isolated nuclei are formed, giving rise to binucleate presporonts, the most frequently observed, characteristic developmental stage. In sporogony, the nuclei of the presporont separate, divide, and eight spores enclosed in a thin-walled sporophorous vesicle are formed. Spores are 4.9 × 2.5 μm in size (fresh) and have an anisofilar polar filament with eight coils. DNA sequence analysis places B. daphniae in a clade of microsporidians that parasitize crustaceans and mosquitoes and have assumed complex life cycles. Binucleata daphniae, however, has a simple and direct life cycle and can be transferred to naïve hosts and maintained as persistent infections in populations of its host D. magna. We propose that B. daphniae has simplified its life cycle by losing its secondary host, rendering it unique in this clade.",integumentary,integumentary,integumentary,carapace; cladoceran Daphnia; integument cells; DNA,0,4,1
110,Brachiola gambiae,1,"Brachiola gambiae sp. n. the Microsporidian Parasite of Anopheles gambiae and A. melas in Liberia ::: Brachiola gambiae sp. n., former Nosema cf. stegomyiae, infected natural and insectary colonies of Anopheles gambiae and A. melas in Liberia and reduced susceptivity of the mosquito to development of malaria parasites and their transmission to man. It infects most tissues of adult male and female mosquitoes, destroying the midgut, Malpighian tubules, the fat body, muscles, hypoderm and connective tissues. It is usually transmitted with feces released by mosquitoes during feeding on cotton swabs with honey water. In sporogony the oval binucleate spores, 2.5-3 x 1.5-2 μm, have an anisofilar polar filament coiled in 9 coils in one row. Five anterior coils are of larger diameter than the posterior three to four. Macrospores 3-4 x 2 μm form a low percentage of mature spores (1:30). Tubulovesicular secretions are present.",intestinal; Malphigian; adipose; muscle; hyopdermal; connective,intestinal; Malphigian; adipose; muscle; hyopdermal; connective,Adipose tissue; muscle; connective; intestinal; Malphigian; hyopdermal,connective; hypoderm; Adipose tissue; Malpighian tubules,2,2,4
111,Brachiola vesicularum,1,"Brachiola vesicularum, n. g., n. sp., a new microsporidium associated with AIDS and myositis ::: Brachiola vesicularum, n. g., n. sp., is a new microsporidum associated with AIDS and myositis. Biopsied muscle tissue, examined by light and electron microscopy, revealed the presence of organisms developing in direct contact with muscle cell cytoplasm and fibers. No other tissue types were infected. All parasite stages contain diplokaryotic nuclei and all cell division is by binary fission. Sporogony is disporoblastic, producing 2.9 x 2 microns diplokaryotic spores containing 8-10 coils of the polar filament arranged in one to three rows, usually two. Additionally, this microsporidium produces electron-dense extracellular secretions and vesiculotubular appendages similar to Nosema algerae. However, the production of protoplasmic extensions which may branch and terminate in extensive vesiculotubular structures is unique to this parasite. Additionally, unlike Nosema algerae, its development occurred at warm blooded host temperature (37-38 degrees C) and unlike Nosema connori, which disseminates to all tissue types, B. vesicularum infected only muscle cells. Thus, a new genus and species is proposed. Because of the similarities with the genus Nosema, this new genus is placed in the family Nosematidae. Successful clearing of this infection (both clinically and histologically) resulted from treatment with albendazole and itraconozole.",striated muscles,striated muscles,striated muscles,tissue; muscle cells,0,2,1
114,Burenella dimorpha,1,"New Family, Genus, and Species of Microsporida (Protozoa: Microsporida) from the Tropical Fire Ant, Solenopsis geminata (Fabricius) (Insecta: Formicidae)* ::: A new species of Microsporida, Burenella dimorpha sp. n., representing a new family, Burenellidae fam. n. and genus, is described on the basis of light‐ and electron‐microscope observations. The family is characterized by 2 sequences of sporogony, each sequence having morphologically different sporonts and spores. The parasite infects the tropical fire ant, Solenopsis geminata (Fabricius), producing distinct pathologic manifestations (clearing of the cuticle and eye malformation) and death in the pupal stage of development. Transmission of the infection per os to healthy S. geminata, to the Southern fire ant, Solenopsis xyloni McCook, and to the red and black imported fire ants, Solenopsis invicta Buren and Solenopsis richteri Forel, is reported.",hypodermis (NMB spores); adipose tissue (MB spores),hypodermis; adipose tissue,adipose tissue; hypodermis,cuticle; eye; Fabricius,0,3,2
115,Cambaraspora floridanus,1,"A new lineage of crayfish-infecting Microsporidia: The Cambaraspora floridanus n. gen. n. sp. (Glugeida: Glugeidae) complex from Floridian freshwaters (USA) ::: Crayfish are a vital ecological asset in their native range but can be highly damaging as invasive species. Knowledge of their diseases, including high levels of research on Aphanomyces astaci (crayfish plague), show that disease plays a vital role during crayfish invasions. Microsporidian diseases in crayfish are less studied but are thought to have important links to crayfish health and invasion dynamics. In this study we provide a systematic description of a novel microsporidian parasite from the Floridian crayfish, Procambarus paeninsulanus, with additional genetic identification from related Microsporidia from Procambarus fallax, Cambarellus shufeldtii and Cambarellus blacki. This novel microsporidium from P. paeninsulanus is described in a new genus, Cambaraspora, and species, Cambaraspora floridanus, and represents a novel member of the Clade V Microsporidia within the Glugeidae. The parasite develops in the muscle tissue of P. paeninsulanus, within a sporophorous vesicle, and produces a spore with 19-21 turns of the polar filament measuring 6.136 ± 0.84 µm in length and 2.12 ± 0.23 µm in width. The muscle-infecting nature of the parasite suggests that it is horizontally transmitted. Genetic data for the 18S of the parasite from all hosts confirms its assignment to Clade V and reveal it to be a relative of multiple fish-infecting parasites. It shows closest genetic relationship to Glugea plecoglossi, but branches alongside multiple microsporidia from fish, crustaceans and eDNA isolates. The information presented here suggests that this novel parasite may have the potential to infect piscine hosts and is a likely mortality driver in the P. paeninsulanus population. Its potential as a control agent or wildlife disease invasion threat is explored, as well as the placement of this novel microsporidium within the Glugeidae.",muscle,muscle,muscle,paeninsulanus,0,1,1
