...1,species,title_abstract,locality,locality_normalized,pred_locality,tp,fp,fn,regions_in_abstract
130,Cucumispora ornata,"Cucumispora ornata n. sp. (Fungi: Microsporidia) infecting invasive ‘demon shrimp’ (Dikerogammarus haemobaphes) in the United Kingdom ::: Dikerogammarus haemobaphes, the ‘demon shrimp’, is an amphipod native to the Ponto-Caspian region. This species invaded the UK in 2012 and has become widely established. Dikerogammarus haemobaphes has the potential to introduce non-native pathogens into the UK, creating a potential threat to native fauna. This study describes a novel species of microsporidian parasite infecting 72.8% of invasive D. haemobaphes located in the River Trent, UK. The microsporidium infection was systemic throughout the host; mainly targeting the sarcolemma of muscle tissues. Electron microscopy revealed this parasite to be diplokaryotic and have 7–9 turns of the polar filament. The microsporidium is placed into the ‘Cucumispora’ genus based on host histopathology, fine detail parasite ultrastructure, a highly similar life-cycle and SSU rDNA sequence phylogeny. Using this data this novel microsporidian species is named Cucumispora ornata, where ‘ornata’ refers to the external beading present on the mature spore stage of this organism. Alongside a taxonomic discussion, the presence of a novel Cucumispora sp. in the United Kingdom is discussed and related to the potential control of invasive Dikerogammarus spp. in the UK and the health of native species which may come into contact with this parasite.",United Kingdom,United Kingdom (),United Kingdom (United Kingdom | River Trent | Trent),1,3,0,TRUE
131,Cucumispora roeselii,"Parasites, Pathogens and Commensals in the ‘Low-Impact’ Non-Native Amphipod Host Gammarus Roeselii ::: BACKGROUND: Whilst vastly understudied, pathogens of non-native species (NNS) are increasingly recognised as important threats to native wildlife. This study builds upon recent recommendations for improved screening for pathogens in NNS by focusing on populations of Gammarus roeselii in Chojna, north-western Poland. At this location, and in other parts of continental Europe, G. roeselii is considered a well-established and relatively 'low-impact' invader, with little understanding about its underlying pathogen profile and even less on potential spill-over of these pathogens to native species. RESULTS: Using a combination of histological, ultrastructural and phylogenetic approaches, we define a pathogen profile for non-native populations of G. roeselii in Poland. This profile comprised acanthocephalans (Polymorphus minutus Goese, 1782 and Pomphorhynchus sp.), digenean trematodes, commensal rotifers, commensal and parasitic ciliated protists, gregarines, microsporidia, a putative rickettsia-like organism, filamentous bacteria and two viral pathogens, the majority of which are previously unknown to science. To demonstrate potential for such pathogenic risks to be characterised from a taxonomic perspective, one of the pathogens, a novel microsporidian, is described based upon its pathology, developmental cycle and SSU rRNA gene phylogeny. The novel microsporidian Cucumispora roeselii n. sp. displayed closest morphological and phylogenetic similarity to two previously described taxa, Cucumispora dikerogammari (Ovcharenko & Kurandina, 1987), and Cucumispora ornata Bojko, Dunn, Stebbing, Ross, Kerr & Stentiford, 2015. CONCLUSIONS: In addition to our discovery extending the host range for the genus Cucumispora Ovcharenko, Bacela, Wilkinson, Ironside, Rigaud & Wattier, 2010 outside of the amphipod host genus Dikerogammarus Stebbing, we reveal significant potential for the co-transfer of (previously unknown) pathogens alongside this host when invading novel locations. This study highlights the importance of pre-invasion screening of low-impact NNS and, provides a means to document and potentially mitigate the additional risks posed by previously unknown pathogens.",Poland,Poland (),Poland (Europe); Canada (Stebbing); Commensals (); United States (Dunn); Bojko (); Belgium (At),1,9,0,TRUE
132,Culicospora damnosi,"Microsporidia Infecting Simulium Damnosum in Nigeria ::: The microsporidia Amblyospora bracteata, A . varians, Thelohania fibrata and Vavraia multispora are recorded from larvae of Simulium damnosum in Northern Nigeria. A new microsporidian, Culicospora damnosi sp. n. is described. Morphological details of the sporogonial stages of the microsporidia in S. damnosum are presented. Listed are also microsporidia in Simulium ruficorne, S . hargreavesi and S . wellmanni. The fungus Coelomycidium simulii was found only in S. ruficorne.",Nigeria,Nigeria (),Nigeria (Nigeria | Northern Nigeria); Thelohania (),1,3,0,TRUE
133,Cystosporogenes deliaradicae,"Ultrastructural study and description of Cystosporogenes deliaradicae n. sp. (microspora, glugeidae), a microsporidian parasite of the cabbage root fly Delia radicum (Linnaeus, 1758) (diptera, anthomyidae) ::: The microsporidium Cystosporogenes deliaradicae sp. no v., a parasite of the adipose tissue of adult cabbage root flies, Delia radicum in Denmark, is described based on light microscopic and ultrastructural characteristics. All life cycle stages have isolated nuclei. The sporogony is polysporoblastic, yielding 4–16 (most commonly 6 or 8) ovocylindrical spores, measuring 1.2–1.5 × 4.6–5.5 μm when fixed and stained. The spore wall has an approximately 43 nm thick, layered exospore with a median layer resembling a double membrane. The polaroplast is uniformly lamellar. The isofilar, 114–123 nm thick, polar filament is arranged in 11–15 (most commonly 12–13) coils in a single layer close to the spore wall. The angle of tilt is approximately 35°. The last coil touches the posterior pole of the spore. A sporophorous vesicle is produced by the sporont. The envelope is generated as a duplication of the plasma membrane. Typically the vesicle primordia grow from one pole of the sporont to the other. The episporontal space initially has granular inclusions. Later septate, persistent tubules of exospore material appear. Simultaneously with the release of sporoblasts, wide tubulus-like, non-persistent structures are formed. They are covered by regularly spaced electron-dense material. Anomalous sporogony was frequently observed, probably caused by a simultaneous parasitism by the fungus Strongwellsea castrans. The systematic position of the microsporidium is discussed, including the reasons for incorporating the genus into the family Glugeidae","Denmark (Hegnstrup, Slangerup, Sjselland)",Denmark (Slangerup),Denmark (),1,0,1,TRUE
134,Cystosporogenes sp.,"Morphology, molecular characteristics and prevalence of a Cystosporogenes species (Microsporidia) isolated from Agrilus anxius (Coleoptera: Buprestidae) ::: A microsporidium was isolated from the bronze birch borer, Agrilus anxius Gory (Coleoptera: Buprestidae), collected near Sudbury and Sault Ste Marie, Canada. Light and electron microscopic investigations showed that gross pathology and ultrastructure of the investigated Cystosporogenes species was similar to those characterized and described for other Cystosporogenes species. Small subunit rRNA gene sequence data and comparative phylogenetic analysis confirmed that the microsporidian species from A. anxius is most closely related to the genus Cystosporogenes clade of microsporidia. Infection average in the Sudbury and Sault Ste Marie beetle populations was >80% and relatively stable in 2006–2007 but declined in 2008. Field prevalence of the A. anxius isolate, mechanisms that may potentially be involved in its horizontal (autoinfection) and vertical (transovarial) transmission, and disease dynamics are discussed. The congeneric relationship between Agrilus planipennis and A. anxius makes it imperative to study the virulence of this Cystosporogenes species in A. Planipennis.",(Ontario) Canada,Canada (Ontario),Canada (Sudbury); Buprestidae (),1,2,1,TRUE
146,Duboscqia aediphaga,"Light and electron microscope studies on three new species of microsporidia from saltmarsh mosquitoes in Australia ::: Descriptions are given of three microsporidians found parasitising larvae of culicine mosquitoes in south-east Queensland, Australia. Two, Duboscqia aediphaga n.sp. and Microsporidium lotaensis n.sp. were recovered from larvae of Aedes (Ochlerotatus) vigilax (Skuse), and a third, Amblyospora pinensis n.sp., from Culex sitiens Wiedemann. The three species were studied by light microscopy and scanning and transmission electron microscopy. We believe this to be the first detailed account of the ultrastructure of a species of Duboscqia Perez.",Australia (Queensland),Australia (Queensland),Australia (Queensland); Costa Rica (Perez),2,2,0,TRUE
147,Duboscqia dengihilli,"Life cycle of a new species of Duboscqia (Microsporida: Thelohaniidae) infecting the mosquito Anopheles hilli and an intermediate copepod host, Apocyclops dengizicus ::: A new species of Microsporida, Duboscqia dengihilli, was found infecting larvae of the mosquito Anopheles hilli in northern Queensland, Australia. Laboratory experiments showed that binucleate spores formed within infected female mosquitoes were responsible for transovarial transmission to the next generation. Sporogony within the larval fat body was initiated by two diplokarya, one at each end of the cell, which undergo meiosis within a single sporophorous vesicle to form 16 meiospores. These spores are responsible for horizontal transmission to the copepod Apocyclops dengizicus. The microsporidium is transmitted back to the mosquito host via uninucleate pyriform spores formed within the copepod host which are infectious to larvae of A. hilli. The meronts within larvae infected by horizontal transmission ultimately develop into the binucleate spores within adult females to complete the life cycle. Thus, the development of this microsporidium involves vertical transmission between successive mosquito generations and horizontal transmission between mosquitoes and copepods similar to the life cycles of Amblyospora and Parathelohania.",Australia (north Queensland),Australia (Queensland),Australia (Queensland); Thelohaniidae (); Amblyospora (); Parathelohania (); Microsporida (),2,4,0,TRUE
148,Encephalitozoon flavescens,"Seven New Microsporidian Parasites of Springtails (Collembola) in the Federal Republic of Germany ::: Three new species of Nosema (N. lepidocyrti, N. onychiurus and N. petrosa), one Encephalitozoon (E.flavescens), two species of Thelohania (T. bomboschi and T. collembolae) and a new genus Auraspora n.g. with A. canningae were described from Collembola in soil samples of Lower Saxony, Federal Republic of Germany.",Germany (Lower Saxony),Germany (Lower Saxony),Germany (Federal Republic of Germany); Nosema (); Thelohania (); Brazil (Federal),1,5,1,TRUE
157,Encephalitozoon lacertae,"Intestinal microsporidiosis in African skink Mabuya perrotetii ::: Intestinal microsporidiosis was documented by detecting abundant slightly curved spores (2.9 x 1.2 microns) in the faeces of five of twelve skinks Mabuya perrotetii Duméril et Bibron, 1839 that originated from Ghana. Clinically, the microsporidiosis was characterized by decreased appetite, diarrhea, and weight loss. Histopathological changes consisted of villous atrophy, blunting of mucosa and flattening of individual epithelial cells in the large intestine. The ultrastructure of microsporidian spores was consistent with an Encephalitozoon species. The PCR-RFLP assay and the heteroduplex mobility shift analyses were used to verify that the skink microsporidian is a species of the genus Encephalitozoon Levaditi, Nicolau et Schoen, 1923 and indicate that this microsporidian is not E. hellem, E. intestinalis or a strain of E. cuniculi. The microsporidia in African skink represent an Encephalitozoon species morphologically identical to Encephalitozoon lacertae Canning, 1981.",Ghana,Ghana (),Ghana (); Australia (Canning),1,2,0,TRUE
169,Endoreticulatus poecilimonae,"Review of the genus Endoreticulatus (Microsporidia, Encephalitozoonidae) with description of a new species isolated from the grasshopper Poecilimon thoracicus (Orthoptera: Tettigoniidae) and transfer of Microsporidium itiiti Malone to the genus ::: The historic genus Pleistophora (Plistophora) is a highly polyphyletic clade with invertebrate Microsporidia reassigned to several new genera since the 1980s. Two genera, Endoreticulatus and Cystosporogenes, clearly separate into distinct but closely related clades based on small subunit ribosomal RNA analysis but are included in different families that are each polyphyletic. A microsporidium with morphology resembling the Endoreticulatus/Cystosporogenes clade was isolated from the grasshopper Poecilimon thoracicus from a site in Northwest Bulgaria. It produced intense infections in the digestive tract of the host but no behavioral changes were noted in infected individuals. Prevalence of the microsporidium increased over the active feeding season yearly. Mature spores were oval and measured 2.58±0.21μm×1.34±0.24μm, with 16 to approximately 32 spores in a parasitophorous vacuole. The spores were uninucleate and polar filament coils numbered 8–9 situated in a single row. The spore polaroplast consisted of an anterior lamellar section and a posterior vesicular section, and the posterior vacuole was reduced. Analyses of a 1221bp partial SSU-rRNA sequence indicated that the isolate is more closely related to the Endoreticulatus clade than to Cystosporogenes, but shows earlier phylogenetic separation from species infecting Lepidoptera and represents a new species, Endoreticulatus poecilimonae. To compare sequences of Endoreticulatus spp. from Lepidoptera to those infecting other insect orders, an isolate, Microsporidium itiiti Malone (1985), described from the Argentine stem weevil, Listronotus bonariensis, was sequenced. Like the grasshopper isolate, the weevil isolate is closely related but basal to the lepidopteran Endoreticulatus clade. The original description combined with the new sequence data confirms species status and permits transfer of the isolate from Microsporidium, a genus erected for microsporidian species of uncertain taxonomic status, to Endoreticulatus.",Bulgaria,Bulgaria (),Bulgaria (Northwest Bulgaria); Argentina (); Encephalitozoonidae (); Pleistophora (); Plistophora (),1,5,0,TRUE
171,Enterocytospora artemiae,"Cytological, molecular and life cycle characterization of Anostracospora rigaudi n. g., n. sp. and Enterocytospora artemiae n. g., n. sp., two new microsporidian parasites infecting gut tissues of the brine shrimp Artemia ::: SUMMARY Two new microsporidia, Anostracospora rigaudi n. g., n. sp., and Enterocytospora artemiae n. g., n. sp. infecting the intestinal epithelium of Artemia parthenogenetica Bowen and Sterling, 1978 and Artemia franciscana Kellogg, 1906 in southern France are described. Molecular analyses revealed the two species belong to a clade of microsporidian parasites that preferentially infect the intestinal epithelium of insect and crustacean hosts. These parasites are morphologically distinguishable from other gut microsporidia infecting Artemia. All life cycle stages have isolated nuclei. Fixed spores measure 1·3×0·7 μm with 5–6 polar tube coils for A. rigaudi and 1·2×0·9 μm with 4 polar tube coils for E. artemiae. Transmission of both species is horizontal, most likely through the ingestion of spores released with the faeces of infected hosts. The minute size of these species, together with their intestinal localization, makes their detection and identification difficult. We developed two species-specific molecular markers allowing each type of infection to be detected within 3–6 days post-inoculation. Using these markers, we show that the prevalence of these microsporidia ranges from 20% to 75% in natural populations. Hence, this study illustrates the usefulness of molecular approaches to study prevalent, but cryptic, infections involving microsporidian parasites of gut tissues.",France; USA (California | Utah); Israel,France (); United States (California | Utah); Israel (),France (); Anostracospora (); United Kingdom (Sterling),1,3,4,TRUE
188,Episeptum inversum,"Ultracytology of a Tetrasporoblastic Microsporidium of the Caddis fly Holocentropus picicornis (Trichoptera, Polycentropodidae), with Description of Episeptuni inversum gen.et sp. nov. (Microspora, Gurleyidae) ::: The microsporidium Episeptum inversum gen. et sp. nov. (fam. Gurleyidae) is a parasite of the caddisfly Holocentropus picicornis (Polycentropodidae) in southern Sweden. Infection is restricted to the adipose tissue. Infected cells and their nuclei are hypertrophied, and in the final phase disintegrated. In the merogonial development multinucleate plasmodia with isolated nuclei give rise to numerous uninucleate merozoites, which mature to uninucleate sporonts. The tetranucleate sporogonial plasmodium is divided into four symmetrical lobes, and finally four rounded uninucleate sporoblasts are budded off. Sporogonial plasmodium and sporoblasts are enclosed in a sporophorous vesicle, produced by the sporont, with a thin electron-dense envelope and a fibrillar content. The vesicle is subpersistent and disappears at spore maturation. Mature spores are always free and ungrouped, even in situ in the host. Spores are pyriform, c. 2.1 X 2.5-3.2 Itm unfixed, 1.2-1.6 X 2.1-2.6,am fixed and stained. The membrane-lined posterior vacuole is visible also in unfixed spores, in an oblique position close to the posterior pole. The uninucleate spores have a polaroplast with two lamellar parts. The anterior lamellae are wide, the posterior ones narrow. The polar filament is anisofilar, with 3 wide (130-140 nm) anterior coils and 2 to 3 narrow (108-113 nm) posterior coils in a single layer close to the spore wall. The angle of tilt is acute, 30-35 degrees. The spore wall is 187-194 nm thick. The internal plasmalemma is c. 10 nm thick and the electron-translucent endospore - 100 nm. The plurilayered exospore has two c. 16 nm thick internal layers of somewhat different electron densities, and a 54 nm thick reticulate or chambered coat, with approximately 10 nm wide compartments and a 6 nm thick cover resembling a unit membrane. The ultracytology of the different developmental stages and the morphogenesis of the characteristic organelles are described. The new microsporidium is compared to the microsporidia of Trichoptera, to the three tetrasporoblastic microsporidian genera, and to the microsporidia with a specialized exospore.",Sweden (southern),Sweden (southern),Sweden (); Gurleyidae (); Trichoptera (); Microspora (); Polycentropodidae (),1,4,1,TRUE
198,Flabelliforma montana,"A new microsporidian parasite, Flabelliforma montana n.g., n.sp., infecting Phlebotomus ariasi (Diptera, Psychodidae) in France ::: Flabelliforma montana, a new microsporidian genus and species, is described from the sandfly Phlebotomus ariasi. The parasite was found in sandflies collected in the commune of Roquedur, Gard, France, and represents the first microsporidium recorded from Old World sandflies. Meronts lie in direct contact with the host cell cytoplasm and divide by binary fission or plasmotomy. Sporogonial plasmodia divide by multiple fission within a sporophorous vesicle, passing through a lobed fan-like stage before division into uninucleate sporoblasts. All stages have unpaired nuclei. Transmission is direct. Flabelliforma is one of nine genera of microsporidia with multisporous sporogony, all but one of which are currently considered to belong to one family, Pleistophoridae, but in reality are not closely related. The characters which differentiate Flabelliforma from the other multisporous genera are discussed and a key is provided for identification of the genera.",France (Cevennes mountains in southern France),France (Cevennes mountains in southern France),France (Roquedur); Sporogonial (); Psychodidae (); Pleistophoridae (); United States (montana),1,6,1,TRUE
199,Flabelliforma ostracoda,"Flabelliforma ostracodae n. sp. (Microspora, Duboscqidae), a new microsporidian parasite of Candona sp. (Crustacea, Ostracoda) ::: A new microsporidian parasite, Flabelliforma ostracodae n. sp., is described based on light and electron microscopy. It was found in ostracods (Candona sp.), collected on flooded meadows in southern Sweden. All life cycle stages have isolated nuclei. Unfixed spores are oval, measuring 3.8 × 2.7 μm. The polar filament is isofilar and arranged in 13–16 coils in the posterior half of the spore. The polaroplast is divided into two, almost equally long, well defined regions. The anterior polaroplast consists of thin, closely packed lamellae, while the posterior polaroplast has wider, more irregularly arranged lamellae. Merogonial plasmodia are initially rounded and produce up to 16 merozoites by rosette-like budding. Sporogonial plasmodia produce 16–32 sporoblasts by rosette-like budding. The spores are produced within a fragile sporophorous vesicle. The identity of the species and the taxonomic position are discussed.",Sweden (Southern region),Sweden (Southern region),Sweden (),1,0,1,TRUE
205,Glugea arabica,"Ultrastructure and phylogeny of Glugea arabica n. sp. (Microsporidia), infecting the marine fish Epinephelus polyphekadion from the Red Sea ::: A new microsporidian species, Glugea arabica n. sp., is reported infecting the intestinal wall of the marine teleost Epinephelus polyphekadion (=microdon) collected from the Red Sea coast off Saudi Arabia, and described on the basis of microscopic and molecular procedures. Spherical blackish xenomas formed parasitophorous vacuoles completely packed with several parasitic developmental stages, including spores. The nuclei were monokaryotic in all developmental stages. Spores were ellipsoidal to pyriform and measured 6.3±0.3 (5.9–6.6) μm in length and 3.3±0.4 (2.9–3.7) μm in width. A lamellar polaroplast surrounded the uncoiled portion of the polar filament, which extended into the spore's posterior pole and formed 27–29 coils organized in three or four rows. The posterior vacuole, located at the spore's posterior pole, appeared surrounded by the polar filament coils and displayed an irregular matrix composed of light material, in which was located the posterosome. Molecular analysis of the rRNA genes, including the ITS region, was performed using maximum parsimony, neighbor-joining and maximum likelihood methodologies. The ultrastructural features observed, in combination with the molecular data analysed, suggests the parasite to be a new species of the genus Glugea.",Red Sea coast off Saudi Arabia,Saudi Arabia (),Saudi Arabia (Red Sea); Glugea arabica n. (),1,2,0,TRUE
208,Glugea eda,"Ultrastructural description and phylogeny of a novel microsporidian, Glugea eda n. sp. from the striated fusilier, Caesio striata, in the Red Sea off Saudi Arabia ::: Glugea eda n. sp. is described from the mesenteries of the striated fusilier, Caesio striata, collected from the Red Sea coast off Yanbu' al Bahr, Saudi Arabia. Numerous blackish xenomas, ranged from 3 to 5 mm, were found in the body cavity associated with the mesenteries. Mature spores are monomorphic, ellipsoidal with an average size of 5(4–6) μm in length and 2.2 (2–3) μm in width. Observations of the ultrastructure revealed that the development was asynchronous and that the nuclei were isolated throughout the life cycle with uninucleate meronts. Sporoblasts were uninucleated and existed together with sporonts in a fully formed parasitophorous vacuole. The polar filament of the mature spore was isofilar with 24–28 coils, arranged in three rows. Phylogenetic analysis placed the current microsporidia within the clade grouping Glugea species and close to the species described from the Red Sea and Arabian Gulf. The morphometric and molecular comparison with other members of the genus Glugea evidenced the taxonomic novelty of the present form, suggesting that it should be considered as a new species. To the best of our knowledge, the parasite here described represents the first occurrence of microsporidian infection in the fish of the family Caesionidae.",Saudi Arabia (Red Sea coast off Yanbu' al Bahr),"Saudi Arabia (Red Sea, Yanbu)",Saudi Arabia (Arabian Gulf | Red Sea | Yanbu); Caesionidae (),2,2,0,TRUE
210,Glugea jazanensis,"Glugea jazanensis sp. nov. infecting Lutjanus bohar in the Red Sea: ultrastructure and phylogeny ::: During a survey of the microsporean fauna of the two-spot red snapper Lutjanus bohar Forsskål, 1775, from the Red Sea off Jizan (Saudi Arabia), a species of Glugea Thélohan, 1891 was found that did not conform to any known species. The species is characterized by the presence of spherical xenomas (ca. 2-5 mm in diameter) in the host body cavity. Examination of the lifecycle stages and mature spores using light and transmission electron microscopy also revealed morphological characteristics typical of species of the genus Glugea. Spores were elongated-ovoid with a posterior vacuole surrounded by the polar filament coils. Mature spores were 4.5 (4.0-4.8) µm long and 2.5 (2.0-2.5) µm wide. The polar filament was isofilar with 28 to 30 coils, although in most cases 29 coils, organized in 3 rows. Phylogenetic study based on the partial sequence of the small subunit (SSU) rRNA gene clustered the new microsporidia within the clade grouping species of the genus Glugea. The comprehensive analysis of the parasite’s ultrastructural characteristics, together with molecular data for the SSU rDNA gene, suggests that this parasite is a new species of the genus Glugea, for which the name Glugea jazanensis sp. nov. is proposed.",Saudi Arabia,Saudi Arabia (),Saudi Arabia (Red Sea | Jizan); Glugea jazanensis (); Glugea Thélohan (),1,4,0,TRUE
212,Glugea nagelia,"Ultrastructure and phylogeny of Glugea nagelia sp. n. (Microsporidia: Glugeidae), infecting the intestinal wall of the yellowfin hind, Cephalopholis hemistiktos (Actinopterygii: Serranidae), from the Red Sea ::: A new microsporidian species of the genus Glugea Thélohan, 1891 parasitising the marine teleost fish Cephalopholis hemistiktos Rüppell, collected from the Red Sea in Saudi Arabia, is described on the basis of microscopic and molecular procedures. Spherical and whitish xenoma were observed adhering to the intestinal wall. The numerous spores contained within these xenoma, were ovoid to pyriform and measured 4.3–6.0 µm (5.1 µm) in length and 1.8–2.9 µm (2.2 µm) in width. The spore’s wall was composed of two thick layers, which were thinner in the area contacting the anchoring disk. The latter appeared at the spore’s anterior pole, in an eccentric position to the longitudinal axis. A lamellar polaroplast surrounded the uncoiled portion of the polar filament projected to the basal region of the spore, giving rise to 26–29 turns with winding from the base to the anterior zone of the spore. The posterior vacuole, located at the spore’s posterior pole, and surrounded by the polar filament coils, was irregular and composed of light material. Molecular analysis of the rRNA genes, including the ITS region, was performed using maximum parsimony, neighbour-joining and maximum likelihood methods. The ultrastructural features observed, combined with the phylogenetic data analysed, suggest this parasite to be a new species of the genus Glugea. This is the first species of this genus to be reported from Saudi Arabia and is herein named Glugea nagelia sp. n.",(The Red Sea coast off Jeddah) Saudi Arabia,"Saudi Arabia (Red Sea, Jeddah)",Saudi Arabia (Red Sea); Glugea Thélohan (); Glugea nagelia (),2,2,0,TRUE
213,Glugea nemipteri,"Glugea Nemipteri Sp. n. and Nosema Bengalis Sp. n., Two New Microsporidia of Nemipterus Japonicus in India ::: Two microsporidia, Glugea nemipteri sp. n. and Nosema bengalis sp. n. are described from muscles, gonads and liver, and gills respectively of Nemipterus japonicus collected in the Gulf of Bengal. Infections are distributed in separate areas and do not interfere. Number of infected fishes decreases with the age of the hosts.",India,India (),India (); United States (Gulf of Bengal); Serbia (India),1,4,0,TRUE
214,Glugea pagri,"A new species of Glugea Thélohan, 1891 in the red sea bream Pagrus major (Temminck & Schlegel) (Teleostei: Sparidae) from China ::: A new microsporidian species is described from farmed red sea bream Pagrus major (Temminck & Schlegel) (Teleostei: Sparidae). Large numbers of spherical whitish xenomas were observed throughout the visceral organs of the host. Histological examination showed that the microsporidia caused several xenomas that were embedded in the intestinal muscularis externa or submucosa. Light and transmission electron microscopy examination of the spores also revealed morphological features typical of species of Glugea Thélohan, 1891. This microsporidian parasite has two different types of mature spores: microspores and macrospores. The spores are elongate-ovoid, with a large posterior vacuole. The polaroplast is bi-partite, with anterior and posterior parts comprising densely packed lamellae and loose membranes, respectively, and occupies approximately the anterior half of the spore. The polar filament is anisofilar, with 12–13 coils in a single layer almost touching the posterior spore wall. Comparison of the small subunit rDNA sequences revealed 92.7–98.1% identity with the sequences available from other Glugea spp. from piscine hosts. Phylogenetic analysis demonstrated that the microsporidian species studied clustered within the Glugea clade with strong support. Based on the differences in the morphological characteristics and molecular data, the microsporidian infecting P. major is considered to represent a species new to science, Glugea pagri n. sp.",(Shenzhen) China,China (Shenzhen),China (); Glugea Thélohan (),1,1,1,TRUE
215,Glugea plecoglossi,"Studies on Glugea Infection of the Ayu, Plecoglossus altivelis—I ::: A new species of microsporidian parasite of the ayu, Plecoglossus altivelis T. & S., is described and the name Glugea plecoglossi T. sp. is suggested. In a heavy infection of the parasite xenomas develop in large number in various organs, viz., peritoneum, visceral cavity, ovaries, testis, fat body, pyloric caeca, spleen, muscle, liver, heart, gills, iris, etc., and cause serious damage to fish. The xenomas are variable in size, being 0.5-3 mm, rarely as large as 5 mm. Fresh spores of the parasite are elongate or ellipsoidal and are 5.1-6.2 x 2.0-2.5µ, the average of 200 spores being 5.8 x 2.1 Spores fixed in Bouin's solution and stained with Heidenhein's iron hematoxylin are 3.S-4.8 x 1.5-2.0 µ the average of 50 spores being 4.0 X 1.8 µ. Everted filaments are 180 µ at maximum, being 100-150 µ in the majority. The processes of schizogony and sporogony of the parasite studied with artificially infected ayu are in substance the same as those reported by Weissenberg (1968) on Glugea anomala and by Sprague and Yernick (1968) on G. weissenbergu A very small xenoma of 4x8 µ with a single schizont and a single host cell nucleus was found in the lamina propria of the villi of the gut of an ayu killed 5 days after infection. Sporonts in smear preparations of parasite are 3 x 4 µ and each sporont produce two spores. Therefore the parasite is classified into the genus Glugea. Inoculation experiments have shown that Salmo gairdneri is susceptible to the parasite, but. Gasterosteus acelatus microcephalus is unsusceptible. Of about 15 species of Glugea in fish, G. hertwigi has spores similar in size to those of the present Glugea, But the former differs from the latter in the following points. The hosts of G. hertwigi are Osmerus mordax and O. eperlanus and it has been reported by Weissenberg (1968) that Gasterosteus aceleatus is susceptible to G. hertwigi, G. anomala and G. weissenhergi are distinguishable in having smaller spores, 3 x 1.5-2 µ, and larger spores, 6.0-7.0 X 2.5-3.6 µ, respectively, and in having different hosts, the sticklebacks. G, takedai which was found in the rainbow trout in Japan is distinguishable in having smaller spores, 2.8-4.9 x 1.7-2.3 µ, and in not causing hypertrophy of the infected host cells.",Japan (Kaga | Kagoshima); China,Japan (Kaga | Kagoshima); China (),Japan (); Glugea (); Trinidad and Tobago (Of); DR Congo (But),1,5,3,TRUE
216,Glugea serranus,"Ultrastructural and molecular characterization of Glugea serranus n. sp., a microsporidian infecting the blacktail comber, Serranus atricauda (Teleostei: Serranidae), in the Madeira Archipelago (Portugal) ::: A new microsporidian infecting the connective tissue of the coelomic cavity of the blacktail comber Serranus atricauda, in the Madeira Archipelago (Portugal), is described on the basis of morphological, ultrastructural, and molecular features. The microsporidian formed large whitish xenomas adhering to the peritoneal visceral organs of the host. Each xenoma consisted of a single hypertrophic cell, in the cytoplasm of which mature spores proliferated within parasitophorous vacuoles surrounded by numerous collagen fibers. Mature spores were ellipsoidal and uninucleated, measuring an average of 6.5 ± 0.5 μm in length and 3.4 ± 0.6 μm in width. The anchoring disk of the polar filament was subterminal, laterally shifted from the anterior pole of the spore. The isofilar polar filament coiled in 18–19 turns, forming two rows that surrounded the posterior vacuole. The latter occupied about one third of the spore length. The polaroplast surrounding the apical and uncoiled portion of the polar filament displayed two distinct regions: a lamellar region and an electron-dense globule. Molecular analysis of the rRNA genes, including the internal transcribed spacer region, and phylogenetic analysis using maximum likelihood and neighbor joining demonstrated that this microsporidian parasite clustered with some Glugea species. Based on the differences found both at the morphological and molecular levels, to other members of the genus Glugea, the microsporidian infecting the blacktail comber is considered a new species, thus named Glugea serranus n. sp.",(Madeira Archipelago) Portugal,Portugal (Madeira Archipelago),Portugal (); Madeira Archipelago (); Serranidae (); Serranus (),1,3,1,TRUE
218,Glugea vincentiae,"Glugea Vincentiae N. SP. (Microsporidia: Glugeidae) infecting the Australian marine fish Vincentia conspersa (Teleostei: Apogonidae) ::: A parasite of the marine fish Vincentia conspersa was examined by light microscopy and transmission electron microscopy. This parasite develops in the subcutaneous tissue of the body and fins, forming spherical xenomas about 1-2 mm in diameter surrounded by a layer of amorphous material. The observed characteristics of the new parasite are in line with those of the other Glugea species; merogony takes place in the outer zone of the cytoplasm of the host cell, sporogony takes place in sporophorous vesicles, and mature spores are located in the central part of the xenoma. Meronts were cylindrical uninucleate or occasionally triradiate multinucleate, with plasmodia in direct contact with the host cytoplasm. Sporogonic plasmodia divided by multiple cleavage to produce sporoblast mother cells, which after binary fission became sporoblasts. Two types of spores were recognized, both uninucleate, i.e., ovoid or slightly ovoid microspores with a mean size of 5.1 × 2.2 μm and much less frequent as elongated oval macrospores with a mean size of 8.9 × 3.1 μm. The polar tube has between 12 and 14 coils arranged in 1, 2, or 3 layers. Taken together, these characteristics suggest that this microsporidian infecting V. conspersa is a new species of Glugea, which we have named Glugea vincentiae. © American Society of Parasitologists 2005.",Australia,Australia (),Glugea (),0,1,1,TRUE
